onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018147269	2.7	forage	3.951	82.58065154	350	5	162.392611	1	n/a	n/a	n/a	n/a
16.59832881	2.7	forage	2.292	-39.73741931	333.3333333	40	265.4548815	0	n/a	n/a	n/a	n/a
24.08111615	1.8	engage	2.96	n/a	n/a	n/a	n/a	n/a	0	55.1	172.5	0
34.89694644	2.7	forage	2.802	189.9288886	383.3333333	40	41.7829586	1	n/a	n/a	n/a	n/a
44.94626444	2.7	forage	2.848	-29.80560502	295	20	244.8696494	0	n/a	n/a	n/a	n/a
51.87903731	1.8	engage	2.532	n/a	n/a	n/a	n/a	n/a	0	423	134.4	1
63.39625395	2.7	forage	5.391	33.80057677	193.3333333	40	104.5	1	n/a	n/a	n/a	n/a
76.12713237	2.7	forage	4.747	-96.65088778	130	20	193.5601076	0	n/a	n/a	n/a	n/a
85.07653955	1.8	engage	3.485	n/a	n/a	n/a	n/a	n/a	0	105	134.9	1
99.65864389	2.7	forage	4.376	186.3040139	320	40	30.28610231	1	n/a	n/a	n/a	n/a
110.2578635	2.7	forage	5.105	26.92284258	251.6666667	40	174.997988	1	n/a	n/a	n/a	n/a
121.3070168	2.7	forage	3.384	-94.00812501	243.3333333	40	275	0	n/a	n/a	n/a	n/a
130.972988	1.8	engage	2.829	n/a	n/a	n/a	n/a	n/a	0	12.6	305	0
143.8219486	2.7	forage	2.805	-23.90256862	253.3333333	5	184.1544188	0	n/a	n/a	n/a	n/a
150.8547995	1.8	engage	1.635	n/a	n/a	n/a	n/a	n/a	0	154.85	262.8	1
161.603922	2.7	forage	3.63	200.4010295	461.6666667	5	58.67385946	1	n/a	n/a	n/a	n/a
172.3697699	2.7	forage	4.792	-48.24810288	318.3333333	5	279.7605251	0	n/a	n/a	n/a	n/a
182.3523657	1.8	engage	1.697	n/a	n/a	n/a	n/a	n/a	0	169.6	307.2	0
193.1848659	2.7	forage	4.985	0.148522039	283.3333333	5	217.6410392	1	n/a	n/a	n/a	n/a
206.7837922	2.7	forage	4.954	101.8864326	343.3333333	40	135.059152	1	n/a	n/a	n/a	n/a
218.9839346	2.7	forage	4.251	0.143044448	283.3333333	40	217.6457422	0	n/a	n/a	n/a	n/a
227.3656303	1.8	engage	2.444	n/a	n/a	n/a	n/a	n/a	0	149.5	268.75	0
241.3311299	2.7	forage	3.071	191.0866154	291.6666667	40	20.56254716	1	n/a	n/a	n/a	n/a
250.9137569	2.7	forage	3.737	-29.6556813	186.6666667	40	195.2177707	1	n/a	n/a	n/a	n/a
260.6630339	2.7	forage	3.628	-105.2912261	215	20	275	0	n/a	n/a	n/a	n/a
270.7289288	1.8	engage	3.169	n/a	n/a	n/a	n/a	n/a	0	9.8	167.5	0
282.0113852	2.7	forage	2.335	-75.97144845	256.6666667	20	262.5038982	0	n/a	n/a	n/a	n/a
288.5275106	1.8	engage	3.242	n/a	n/a	n/a	n/a	n/a	0	366.6	306.25	0
299.6267066	2.7	forage	2.863	-120.7589306	173.3333333	5	253.3654494	0	n/a	n/a	n/a	n/a
307.8926711	1.8	engage	2.782	n/a	n/a	n/a	n/a	n/a	0	312.75	270.25	0
321.8749246	2.7	forage	3.174	230.9297872	416.6666667	40	15.14858408	1	n/a	n/a	n/a	n/a
332.6241126	2.7	forage	4.442	6.849424073	305	40	227.9101403	0	n/a	n/a	n/a	n/a
343.5233598	1.8	engage	2.863	n/a	n/a	n/a	n/a	n/a	0	224.1	281.25	1
356.4897396	2.7	forage	2.369	241.7041916	458.3333333	40	20.56254716	1	n/a	n/a	n/a	n/a
365.6548391	2.7	forage	2.947	-44.83740758	301.6666667	5	276.3162819	0	n/a	n/a	n/a	n/a
373.8209597	1.8	engage	1.958	n/a	n/a	n/a	n/a	n/a	0	384	239.2	1
383.5035612	2.7	forage	2.364	-106.0394615	275	40	288.8317489	0	n/a	n/a	n/a	n/a
388.9865133	1.8	engage	1.519	n/a	n/a	n/a	n/a	n/a	0	234	418.7	0
399.8688766	2.7	forage	4.838	-54.04442768	260	40	231.6207937	1	n/a	n/a	n/a	n/a
411.6180818	2.7	forage	5.2	39.01332596	271.6666667	20	154.7765454	0	n/a	n/a	n/a	n/a
423.0504713	1.8	engage	2.839	n/a	n/a	n/a	n/a	n/a	0	213	121.25	1
432.7830591	2.7	forage	4.772	113.1673021	361.6666667	40	116.1938283	1	n/a	n/a	n/a	n/a
444.648848	2.7	forage	3.473	-84.93752829	303.3333333	5	280.062346	0	n/a	n/a	n/a	n/a
455.3980007	1.8	engage	1.151	n/a	n/a	n/a	n/a	n/a	0	156.45	453.15	0
465.2639054	2.7	forage	3.901	-94.92778868	196.6666667	40	255.1586691	0	n/a	n/a	n/a	n/a
473.6133549	1.8	engage	1.732	n/a	n/a	n/a	n/a	n/a	0	140.8	347.9	0
486.0789447	2.7	forage	4.516	91.62395252	205	5	51.40636789	1	n/a	n/a	n/a	n/a
499.5972418	2.7	forage	3.079	-4.975276227	160	40	131.494291	0	n/a	n/a	n/a	n/a
505.8441864	1.8	engage	3.533	n/a	n/a	n/a	n/a	n/a	0	49.6	232.7	0
520.4930889	2.7	forage	2.973	-0.391048405	275	20	197.9560133	1	n/a	n/a	n/a	n/a
531.228164	2.7	forage	4.993	-89.91787636	266.6666667	40	269.4789749	0	n/a	n/a	n/a	n/a
540.5748226	1.8	engage	1.754	n/a	n/a	n/a	n/a	n/a	0	53.9	286.65	0
551.0743595	2.7	forage	3.983	-40.58760793	216.6666667	5	197.5518334	1	n/a	n/a	n/a	n/a
562.5231197	2.7	forage	3.696	98.84476468	248.3333333	20	80.87249132	1	n/a	n/a	n/a	n/a
573.0890294	2.7	forage	4.808	-91.33234914	201.6666667	40	235.7386701	0	n/a	n/a	n/a	n/a
583.1382797	1.8	engage	3.351	n/a	n/a	n/a	n/a	n/a	0	94.05	167.7	1
597.137188	2.7	forage	2.482	217.4336838	403.3333333	5	25.59501534	1	n/a	n/a	n/a	n/a
609.8028953	2.7	forage	3.567	-33.74829066	290	40	255.1924199	0	n/a	n/a	n/a	n/a
617.7689436	1.8	engage	1.928	n/a	n/a	n/a	n/a	n/a	0	335	66.15	1
628.3680829	2.7	forage	2.851	-64.20032527	320	40	277.9006338	0	n/a	n/a	n/a	n/a
635.3841748	1.8	engage	3.531	n/a	n/a	n/a	n/a	n/a	0	227.95	280.9	0
647.1499211	2.7	forage	3.493	-107.8562882	191.6666667	20	247.3865751	0	n/a	n/a	n/a	n/a
657.1158796	1.8	engage	2.413	n/a	n/a	n/a	n/a	n/a	0	308.7	193.6	1
667.5317024	2.7	forage	4.23	242.7923512	473.3333333	40	25.59501534	1	n/a	n/a	n/a	n/a
