onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.017753484	2.7	forage	4.051	147.8436112	431.6666667	20	99	0	n/a	n/a	n/a	n/a
17.147788	1.8	engage	4.864	n/a	n/a	n/a	n/a	n/a	0	12.4	70.2	1
32.92978867	2.7	forage	3.521	215.5551096	411.6666667	5	40.42545647	1	n/a	n/a	n/a	n/a
45.34551845	2.7	forage	5.93	125.9790386	353.3333333	40	132.6841457	0	n/a	n/a	n/a	n/a
56.77799097	1.8	engage	1.815	n/a	n/a	n/a	n/a	n/a	0	158.7	96.25	1
69.6103854	2.7	forage	4.959	35.18063478	283.3333333	20	167.3454052	1	n/a	n/a	n/a	n/a
81.09277099	2.7	forage	3.703	-47.75152323	230	20	222.1229817	0	n/a	n/a	n/a	n/a
88.0589948	1.8	engage	2.535	n/a	n/a	n/a	n/a	n/a	0	275	204.45	1
97.42484351	2.7	forage	5.129	153.9283487	373.3333333	20	57.19684624	1	n/a	n/a	n/a	n/a
109.6239809	2.7	forage	4.018	36.59151116	295	40	174.4206277	0	n/a	n/a	n/a	n/a
120.189808	1.8	engage	2.549	n/a	n/a	n/a	n/a	n/a	0	238.5	204.6	0
131.7742643	2.7	forage	3.437	-79.47009875	276.6666667	5	280.0446406	0	n/a	n/a	n/a	n/a
141.3715438	1.8	engage	2.55	n/a	n/a	n/a	n/a	n/a	0	424	140.7	1
151.9873798	2.7	forage	2.806	241.7041916	458.3333333	40	20.56254716	1	n/a	n/a	n/a	n/a
161.320029	2.7	forage	4.258	-48.47889945	300	40	278.4890599	0	n/a	n/a	n/a	n/a
168.9028487	1.8	engage	4.067	n/a	n/a	n/a	n/a	n/a	0	210.6	218.05	1
183.0850043	2.7	forage	2.933	-99.39765102	170	5	234.6259997	0	n/a	n/a	n/a	n/a
191.4844149	1.8	engage	2.23	n/a	n/a	n/a	n/a	n/a	0	191.4	252.15	0
201.9169388	2.7	forage	4.852	120.4177892	295	5	97.21480308	1	n/a	n/a	n/a	n/a
217.1824308	2.7	forage	7.525	0.117058163	270	20	203.5	0	n/a	n/a	n/a	n/a
230.064772	1.8	engage	2.97	n/a	n/a	n/a	n/a	n/a	0	28	85.1	1
243.9166162	2.7	forage	4.808	140.4213822	266.6666667	40	60.11712188	1	n/a	n/a	n/a	n/a
255.9627578	2.7	forage	2.583	150.3979025	263.3333333	5	50.62677934	1	n/a	n/a	n/a	n/a
266.2953215	2.7	forage	3.524	-44.60603927	190	40	205.8799859	0	n/a	n/a	n/a	n/a
275.9946276	1.8	engage	1.775	n/a	n/a	n/a	n/a	n/a	0	179	98	1
286.6770614	2.7	forage	4.197	118.9160254	418.3333333	20	137.5	1	n/a	n/a	n/a	n/a
297.8595184	2.7	forage	2.743	-59.95616921	301.6666667	5	276.1840451	0	n/a	n/a	n/a	n/a
306.9755537	1.8	engage	2.412	n/a	n/a	n/a	n/a	n/a	0	291.5	356.5	0
316.5747952	2.7	forage	4.525	173.1104321	278.3333333	20	25.59501534	1	n/a	n/a	n/a	n/a
329.2737984	2.7	forage	5.2	103.5149003	260	5	93.5	1	n/a	n/a	n/a	n/a
341.3895069	2.7	forage	2.764	173.1184732	278.3333333	5	25.59501534	1	n/a	n/a	n/a	n/a
352.52203	2.7	forage	2.432	40.79820935	218.3333333	40	141.6845481	0	n/a	n/a	n/a	n/a
361.3214647	1.8	engage	1.473	n/a	n/a	n/a	n/a	n/a	0	137.7	175	1
371.5038583	2.7	forage	4.674	11.38249082	328.3333333	5	198	0	n/a	n/a	n/a	n/a
380.2866752	1.8	engage	3.637	n/a	n/a	n/a	n/a	n/a	0	11.25	176.4	0
393.6688425	2.7	forage	6.535	-135.8158158	238.3333333	5	291.5	1	n/a	n/a	n/a	n/a
409.6176365	2.7	forage	4.488	70.9903811	281.6666667	20	129.1538655	1	n/a	n/a	n/a	n/a
423.9010325	2.7	forage	4.704	-126.2178026	198.3333333	20	270.2004678	0	n/a	n/a	n/a	n/a
433.982548	1.8	engage	1.123	n/a	n/a	n/a	n/a	n/a	0	203	196.1	1
444.0483892	2.7	forage	2.721	-101.5830072	215	20	269.2241839	0	n/a	n/a	n/a	n/a
451.2144962	1.8	engage	3.757	n/a	n/a	n/a	n/a	n/a	0	161.2	215.6	0
464.3806654	2.7	forage	7.909	83.5767064	243.3333333	20	96.41750918	0	n/a	n/a	n/a	n/a
476.6459299	1.8	engage	2.27	n/a	n/a	n/a	n/a	n/a	0	134.9	45.1	1
487.7308658	2.7	forage	3.074	200.4010295	461.6666667	20	58.67385946	1	n/a	n/a	n/a	n/a
497.979707	2.7	forage	3.753	11.16904918	341.6666667	5	239.3475177	0	n/a	n/a	n/a	n/a
505.2437054	1.8	engage	2.591	n/a	n/a	n/a	n/a	n/a	0	99	215	0
515.0429024	2.7	forage	4.848	0.459250876	300	40	209	1	n/a	n/a	n/a	n/a
527.2252878	2.7	forage	7.226	7.929671546	298.3333333	5	203.1901564	1	n/a	n/a	n/a	n/a
540.8409191	2.7	forage	8.595	84.73153765	321.6666667	20	136.4094613	0	n/a	n/a	n/a	n/a
554.7398876	1.8	engage	2.414	n/a	n/a	n/a	n/a	n/a	0	195	15.4	1
565.1390441	2.7	forage	6.032	-35.1193669	366.6666667	5	281.8469896	0	n/a	n/a	n/a	n/a
575.6382865	1.8	engage	2.381	n/a	n/a	n/a	n/a	n/a	0	120.8	408.2	0
590.4704481	2.7	forage	3.284	153.9401522	380	20	71.46846235	1	n/a	n/a	n/a	n/a
602.87325	2.7	forage	3.13	-10.89107523	291.6666667	20	216.1670691	0	n/a	n/a	n/a	n/a
611.152266	1.8	engage	1.433	n/a	n/a	n/a	n/a	n/a	0	85.1	348.5	0
621.8513635	2.7	forage	2.543	227.0892946	341.6666667	40	15.14305115	1	n/a	n/a	n/a	n/a
630.8840305	2.7	forage	3.654	-57.92730245	205	5	239.3475177	0	n/a	n/a	n/a	n/a
641.033336	1.8	engage	1.601	n/a	n/a	n/a	n/a	n/a	0	382.8	245.1	1
651.699077	2.7	forage	4.327	45.63396375	335	40	170.1295709	1	n/a	n/a	n/a	n/a
665.8325455	2.7	forage	6.709	7.046137854	331.6666667	40	203.1901564	1	n/a	n/a	n/a	n/a
680.9301899	2.7	forage	2.968	-33.5730815	280	40	227.5291987	0	n/a	n/a	n/a	n/a
688.0630431	1.8	engage	4.436	n/a	n/a	n/a	n/a	n/a	0	272.25	136	1
699.5953797	2.7	forage	3.311	36.36137854	240	5	137.5	1	n/a	n/a	n/a	n/a
711.0279414	2.7	forage	4.799	-82.90880908	208.3333333	5	231	0	n/a	n/a	n/a	n/a
722.0271098	1.8	engage	1.665	n/a	n/a	n/a	n/a	n/a	0	30.75	245.7	0
730.7264008	2.7	forage	2.496	214.1859699	428.3333333	20	32.28846637	1	n/a	n/a	n/a	n/a
739.1424083	2.7	forage	3.636	19.64474624	310	20	217.3580303	0	n/a	n/a	n/a	n/a
748.0584133	1.8	engage	3.184	n/a	n/a	n/a	n/a	n/a	0	196.95	198	0
