onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018195508	2.7	forage	3.278	102.7081267	338.3333333	5	118.9085559	1	n/a	n/a	n/a	n/a
18.93158351	2.7	forage	2.94	-4.116198045	305	40	213.7779538	0	n/a	n/a	n/a	n/a
28.04769543	1.8	engage	4.623	n/a	n/a	n/a	n/a	n/a	0	72	91.65	0
39.81340769	2.7	forage	4.114	205.4048924	376.6666667	40	35.39824456	0	n/a	n/a	n/a	n/a
49.26267571	1.8	engage	1.544	n/a	n/a	n/a	n/a	n/a	0	36.75	16.75	1
61.56197356	2.7	forage	2.836	-113.5598997	161.6666667	20	244.937981	0	n/a	n/a	n/a	n/a
69.59440393	1.8	engage	2.627	n/a	n/a	n/a	n/a	n/a	0	61.1	336	0
79.79364849	2.7	forage	3.118	26.32635682	238.3333333	5	151.5555556	1	n/a	n/a	n/a	n/a
90.24283695	2.7	forage	2.339	-52.59640695	221.6666667	40	214.0532166	0	n/a	n/a	n/a	n/a
96.74240165	1.8	engage	4.505	n/a	n/a	n/a	n/a	n/a	0	287	61.2	1
108.3747286	2.7	forage	3.393	97.71110608	250	20	82.13897691	1	n/a	n/a	n/a	n/a
119.8738419	2.7	forage	2.397	-66.81723086	213.3333333	40	218.4997485	0	n/a	n/a	n/a	n/a
126.7233995	1.8	engage	2.354	n/a	n/a	n/a	n/a	n/a	0	50.6	346	0
138.9567311	2.7	forage	3.923	-115.9828764	253.3333333	5	285.8893416	0	n/a	n/a	n/a	n/a
147.1384685	1.8	engage	1.516	n/a	n/a	n/a	n/a	n/a	0	267.8	27.6	1
158.1709927	2.7	forage	2.002	204.4695891	443.3333333	40	43.89210804	0	n/a	n/a	n/a	n/a
164.4372218	1.8	engage	1.603	n/a	n/a	n/a	n/a	n/a	0	59.2	15.9	1
175.8696292	2.7	forage	3.576	-101.4675905	223.3333333	20	270.8417333	0	n/a	n/a	n/a	n/a
183.819047	1.8	engage	2.011	n/a	n/a	n/a	n/a	n/a	0	162.15	306	0
194.9681018	2.7	forage	4.903	77.25735459	438.3333333	20	189.8724159	1	n/a	n/a	n/a	n/a
210.0528761	2.7	forage	3.901	-24.22419731	391.6666667	20	266.8381118	0	n/a	n/a	n/a	n/a
219.1330081	1.8	engage	2.554	n/a	n/a	n/a	n/a	n/a	0	296.45	295.2	1
231.0153322	2.7	forage	3.542	234.2106987	466.6666667	20	25.32334893	1	n/a	n/a	n/a	n/a
240.6979194	2.7	forage	4.907	-9.790558825	326.6666667	20	254.4203008	0	n/a	n/a	n/a	n/a
250.9138816	1.8	engage	1.883	n/a	n/a	n/a	n/a	n/a	0	275	187.2	1
261.1297073	2.7	forage	3.22	179.2464598	380	20	51.20220311	1	n/a	n/a	n/a	n/a
274.1120732	2.7	forage	2.279	-36.57469108	303.3333333	40	250.8645692	0	n/a	n/a	n/a	n/a
280.5782952	1.8	engage	4.603	n/a	n/a	n/a	n/a	n/a	0	44.2	253.8	0
297.1769515	2.7	forage	3.589	74.45607364	320	5	146.6035914	1	n/a	n/a	n/a	n/a
309.0926896	2.7	forage	4.146	-133.1184615	218.3333333	40	278.4915497	0	n/a	n/a	n/a	n/a
316.3755234	1.8	engage	2.052	n/a	n/a	n/a	n/a	n/a	0	100.45	122.2	0
328.876439	2.7	forage	4.276	241.4465235	468.3333333	20	20.30581963	1	n/a	n/a	n/a	n/a
342.1401517	2.7	forage	4.01	-27.42242845	323.3333333	40	269.9813641	0	n/a	n/a	n/a	n/a
351.3395769	1.8	engage	1.507	n/a	n/a	n/a	n/a	n/a	0	318	131.2	1
361.8219948	2.7	forage	3.832	-58.27849538	285	20	265.4548815	0	n/a	n/a	n/a	n/a
370.9380005	1.8	engage	1.557	n/a	n/a	n/a	n/a	n/a	0	62.7	307.5	0
379.8872888	2.7	forage	3.511	156.78376	405	20	82.5	1	n/a	n/a	n/a	n/a
389.9699126	2.7	forage	3.23	-13.2448351	305	5	237.3789045	0	n/a	n/a	n/a	n/a
398.3358878	1.8	engage	2.614	n/a	n/a	n/a	n/a	n/a	0	415.95	205.5	1
411.3349158	2.7	forage	3.202	203.6786027	416.6666667	5	48.45261808	1	n/a	n/a	n/a	n/a
421.5174324	2.7	forage	3.45	14.24721593	331.6666667	5	230.1733816	1	n/a	n/a	n/a	n/a
431.1999803	2.7	forage	3.071	-24.31576715	351.6666667	40	264	0	n/a	n/a	n/a	n/a
438.3828145	1.8	engage	4.447	n/a	n/a	n/a	n/a	n/a	0	10.35	357.6	0
450.6484843	2.7	forage	3.591	-101.2464396	175	5	247.8737488	0	n/a	n/a	n/a	n/a
458.5978781	1.8	engage	2.05	n/a	n/a	n/a	n/a	n/a	0	180.4	172.5	0
474.3638904	2.7	forage	4.819	-9.22706772	205	5	154	1	n/a	n/a	n/a	n/a
486.1791735	2.7	forage	4.475	-101.4798183	170	5	224.2633922	0	n/a	n/a	n/a	n/a
495.0618781	1.8	engage	3.281	n/a	n/a	n/a	n/a	n/a	0	323.9	40.15	1
509.3274022	2.7	forage	2.302	27.13556494	286.6666667	40	159.5	0	n/a	n/a	n/a	n/a
515.8101983	1.8	engage	1.316	n/a	n/a	n/a	n/a	n/a	0	6.75	234.9	0
528.0769625	2.7	forage	4.14	-160.0844424	183.3333333	5	269.5	0	n/a	n/a	n/a	n/a
538.5418106	1.8	engage	3.738	n/a	n/a	n/a	n/a	n/a	0	41.85	303.8	0
554.0267098	2.7	forage	4.341	-49.46206261	190	5	196.2903274	0	n/a	n/a	n/a	n/a
563.8232293	1.8	engage	2.252	n/a	n/a	n/a	n/a	n/a	0	141.1	333	0
574.9723091	2.7	forage	3.243	186.255066	341.6666667	5	47.22541623	1	n/a	n/a	n/a	n/a
585.5215661	2.7	forage	2.838	-81.15302886	226.6666667	20	257.5405915	0	n/a	n/a	n/a	n/a
591.754495	1.8	engage	1.5	n/a	n/a	n/a	n/a	n/a	0	102	246.75	0
603.4705589	2.7	forage	4.385	-58.30686082	178.3333333	40	187.4899401	0	n/a	n/a	n/a	n/a
613.1694805	1.8	engage	1.588	n/a	n/a	n/a	n/a	n/a	0	277.2	271.25	0
624.4697734	2.7	forage	2.617	-67.35106551	295	20	262.9360193	0	n/a	n/a	n/a	n/a
632.4179738	1.8	engage	3.356	n/a	n/a	n/a	n/a	n/a	0	400.4	297.85	1
643.0504271	2.7	forage	3.859	-6.282465671	310	40	196.5263065	0	n/a	n/a	n/a	n/a
652.0331677	1.8	engage	2.302	n/a	n/a	n/a	n/a	n/a	0	203.5	32.9	1
664.8164548	2.7	forage	2.832	75.79983569	331.6666667	5	165	1	n/a	n/a	n/a	n/a
676.7316174	2.7	forage	3.94	-32.88674111	260	5	244.1138524	0	n/a	n/a	n/a	n/a
685.0306122	1.8	engage	3.002	n/a	n/a	n/a	n/a	n/a	0	105.6	160.65	0
698.5962251	2.7	forage	3.202	159.360054	308.3333333	40	51.20220311	0	n/a	n/a	n/a	n/a
704.8291018	1.8	engage	1.297	n/a	n/a	n/a	n/a	n/a	0	43.6	86	0
718.1641053	2.7	forage	3.931	251.4830391	418.3333333	20	15.14305115	1	n/a	n/a	n/a	n/a
729.4937962	2.7	forage	4.002	-35.36547122	270	20	259.8959559	0	n/a	n/a	n/a	n/a
736.9099779	1.8	engage	1.744	n/a	n/a	n/a	n/a	n/a	0	384.75	389.55	0
751.0922014	2.7	forage	2.482	-52.14656204	250	40	228.5962225	0	n/a	n/a	n/a	n/a
758.9583019	1.8	engage	1.409	n/a	n/a	n/a	n/a	n/a	0	157.5	146.2	1
769.66143	2.7	forage	7.035	10.06548966	278.3333333	5	161.5513304	0	n/a	n/a	n/a	n/a
779.9900426	1.8	engage	3.8	n/a	n/a	n/a	n/a	n/a	0	66.15	203.2	0
792.9067557	2.7	forage	3.204	-79.12692856	308.3333333	20	280.8294854	0	n/a	n/a	n/a	n/a
804.4048651	1.8	engage	3.323	n/a	n/a	n/a	n/a	n/a	0	375	442	0
816.8704332	2.7	forage	3.871	-72.61593481	266.6666667	20	269.2095217	0	n/a	n/a	n/a	n/a
824.0366346	1.8	engage	1.625	n/a	n/a	n/a	n/a	n/a	0	250	219.95	0
837.4729012	2.7	forage	4.272	-72.32908975	268.3333333	20	258.0274886	0	n/a	n/a	n/a	n/a
846.2349705	1.8	engage	1.346	n/a	n/a	n/a	n/a	n/a	0	75	401.8	0
855.067536	2.7	forage	2.538	-128.6542427	231.6666667	5	286	0	n/a	n/a	n/a	n/a
865.0673751	1.8	engage	1.346	n/a	n/a	n/a	n/a	n/a	0	35.2	353.6	0
877.5157919	2.7	forage	2.97	223.1409101	443.3333333	5	26.39784216	1	n/a	n/a	n/a	n/a
891.7480429	2.7	forage	3.811	12.35729926	321.6666667	40	229.4184146	0	n/a	n/a	n/a	n/a
901.6640156	1.8	engage	2.8	n/a	n/a	n/a	n/a	n/a	0	262.5	144	1
912.9131416	2.7	forage	4.703	-12.20543903	301.6666667	40	231	0	n/a	n/a	n/a	n/a
923.7290008	1.8	engage	1.526	n/a	n/a	n/a	n/a	n/a	0	37.2	329.7	0
933.4115818	2.7	forage	4.469	-31.86733732	318.3333333	5	262.0355364	0	n/a	n/a	n/a	n/a
943.1441893	1.8	engage	1.526	n/a	n/a	n/a	n/a	n/a	0	358.8	421.4	0
955.8598449	2.7	forage	3.955	180.7897943	330	20	41.12509431	1	n/a	n/a	n/a	n/a
966.4295488	2.7	forage	4.434	-57.0185202	226.6666667	20	238.6534128	0	n/a	n/a	n/a	n/a
976.0749455	1.8	engage	2.219	n/a	n/a	n/a	n/a	n/a	0	199.75	170.1	1
986.1575106	2.7	forage	4.201	-9.818112771	221.6666667	5	176.5164982	0	n/a	n/a	n/a	n/a
994.6402783	1.8	engage	1.549	n/a	n/a	n/a	n/a	n/a	0	146.85	142.6	1
1005.908717	2.7	forage	2.997	201.668179	446.6666667	5	55.56574116	1	n/a	n/a	n/a	n/a
1016.055195	2.7	forage	2.737	-6.749296648	341.6666667	20	252.77647	0	n/a	n/a	n/a	n/a
1024.304598	1.8	engage	3.302	n/a	n/a	n/a	n/a	n/a	0	274.35	310	0
1038.472791	2.7	forage	3.281	208.5251832	405	20	26.39784216	1	n/a	n/a	n/a	n/a
1051.737465	2.7	forage	2.416	-69.21353889	258.3333333	5	265.3428399	0	n/a	n/a	n/a	n/a
1058.418634	1.8	engage	4.516	n/a	n/a	n/a	n/a	n/a	0	125.4	155.55	0
1070.117781	2.7	forage	2.401	-81.60431233	190	40	212.7106534	0	n/a	n/a	n/a	n/a
1077.76717	1.8	engage	1.441	n/a	n/a	n/a	n/a	n/a	0	252	101.75	1
1085.9999	2.7	forage	4.245	-62.47256007	271.6666667	20	247.6778834	0	n/a	n/a	n/a	n/a
1093.599338	1.8	engage	2.745	n/a	n/a	n/a	n/a	n/a	0	228	230.4	0
1105.131721	2.7	forage	2.283	194.176807	366.6666667	40	46.92580856	0	n/a	n/a	n/a	n/a
1113.797752	1.8	engage	1.511	n/a	n/a	n/a	n/a	n/a	0	72	34.8	1
1123.047072	2.7	forage	2.782	-27.49765773	301.6666667	40	231.5319903	0	n/a	n/a	n/a	n/a
1133.230004	1.8	engage	2.002	n/a	n/a	n/a	n/a	n/a	0	292.5	133.2	1
