onset	duration	stage	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	RT	ExpValueLeft	ExpValueRight	Choice_isLeft
329.7410919	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.18	79.5	240.9	0
342.0600896	2.7	forage	36.21010848	343.3333333	20	181.5	1	6.828	n/a	n/a	n/a
357.3888979	2.7	forage	-53.2932599	263.3333333	40	243.0725567	0	2.939	n/a	n/a	n/a
363.5717591	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.98	84	237.6	0
373.7876005	2.7	forage	95.45101856	403.3333333	5	162.1394799	1	5.316	n/a	n/a	n/a
386.7698945	2.7	forage	25.63606961	400	5	223.0610885	1	5.181	n/a	n/a	n/a
399.5855899	2.7	forage	60.34321547	373.3333333	5	192.6264272	1	4.59	n/a	n/a	n/a
412.701253	2.7	forage	-10.19743138	376.6666667	20	253.666717	0	3.299	n/a	n/a	n/a
419.3175015	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.868	71.25	369.6	0
435.3995591	2.7	forage	-59.13261238	266.6666667	5	236.1270811	0	4.817	n/a	n/a	n/a
443.5156562	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.405	315	152	1
453.9147638	2.7	forage	236.7364033	403.3333333	40	15.14858408	1	4.205	n/a	n/a	n/a
466.2138539	2.7	forage	-76.79393558	246.6666667	40	276.1840451	0	3.131	n/a	n/a	n/a
472.6133517	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.194	159	328.9	0
483.0625756	2.7	forage	77.31613266	276.6666667	20	95.93503848	1	6.762	n/a	n/a	n/a
497.5114182	2.7	forage	-69.02486629	211.6666667	40	203.808737	0	4.97	n/a	n/a	n/a
506.7941786	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.206	179.8	90	1
517.9764953	2.7	forage	218.5690576	431.6666667	40	30.84382073	1	2.753	n/a	n/a	n/a
529.3589351	2.7	forage	-77.43184447	275	20	283.3325788	0	3.706	n/a	n/a	n/a
538.3084103	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.052	356.2	316.2	1
550.9240431	2.7	forage	59.16971983	285	40	151.1931492	0	7.435	n/a	n/a	n/a
561.5232267	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.357	154	76.95	1
575.0758236	2.7	forage	-99.48757943	191.6666667	5	258.8560435	0	3.005	n/a	n/a	n/a
581.2050341	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.155	309.6	200.1	1
597.6203884	2.7	forage	-103.1275221	190	40	263.3725668	0	3.684	n/a	n/a	n/a
608.76963	1.8	engage	n/a	n/a	n/a	n/a	n/a	5.567	367.5	119.25	1
624.4849735	2.7	forage	156.3488356	343.3333333	40	40.60444646	1	11.107	n/a	n/a	n/a
641.9669385	2.7	forage	-46.42338246	240	40	218.8223178	0	2.898	n/a	n/a	n/a
651.3163205	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.151	169.85	118.8	1
661.0488977	2.7	forage	117.3994149	260	20	92.45427795	1	5.039	n/a	n/a	n/a
672.5813042	2.7	forage	-21.47557132	226.6666667	20	209	1	3.596	n/a	n/a	n/a
682.8972058	2.7	forage	-70.71491541	213.3333333	5	247.5	0	4.744	n/a	n/a	n/a
690.9133095	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.592	375.75	11.75	1
704.8156218	2.7	forage	-106.768018	176.6666667	40	247.6778834	0	5.361	n/a	n/a	n/a
714.5115115	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.177	258	213.6	1
731.5767366	2.7	forage	-136.1389752	170	20	257.7721443	0	4.329	n/a	n/a	n/a
742.1427133	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.923	362.1	246.6	1
753.4750377	2.7	forage	-130.4088426	188.3333333	20	272.8189226	0	5.55	n/a	n/a	n/a
765.1742646	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.195	227.5	35	1
778.1398547	2.7	forage	-27.76694499	240	40	195.5859866	0	5.972	n/a	n/a	n/a
787.30589	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.062	43.7	165.3	0
798.4549381	2.7	forage	9.139666013	325	40	225.1483829	0	5.593	n/a	n/a	n/a
808.4709174	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.68	369	72	1
820.4068747	2.7	forage	-72.12197408	300	40	263.3526483	0	6.954	n/a	n/a	n/a
832.6024212	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.607	189.6	78	1
843.0848507	2.7	forage	245.555289	480	40	20.58799859	1	5.636	n/a	n/a	n/a
856.2671967	2.7	forage	-18.29845749	331.6666667	20	267.8666818	0	4.15	n/a	n/a	n/a
865.6331618	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.928	350.45	309.4	1
877.6321533	2.7	forage	238.2775246	458.3333333	20	20.58799859	1	4.105	n/a	n/a	n/a
889.2979743	2.7	forage	-25.5506782	315	40	264.7203863	0	6.694	n/a	n/a	n/a
902.247034	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.922	324	223.6	1
913.2482661	2.7	forage	42.19143571	295	20	151.1931492	0	8.063	n/a	n/a	n/a
924.6119538	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.341	95.2	55.8	0
938.7941326	2.7	forage	-12.94568851	213.3333333	20	165.5732106	0	4.575	n/a	n/a	n/a
948.4768299	1.8	engage	n/a	n/a	n/a	n/a	n/a	7.084	152.55	230.4	0
966.0753908	2.7	forage	-73.45721543	311.6666667	40	275.9685378	0	3.182	n/a	n/a	n/a
973.6081529	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.904	127.5	141.6	0
985.7905897	2.7	forage	207.0757608	428.3333333	40	40.42545647	1	3.137	n/a	n/a	n/a
994.7398572	2.7	forage	58.91107422	336.6666667	20	188.9016649	0	6.293	n/a	n/a	n/a
1006.172331	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.868	239.4	91.2	1
1018.354668	2.7	forage	-69.18375333	305	5	286	0	4.061	n/a	n/a	n/a
1027.62074	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.554	356.2	55.2	1
1040.069676	2.7	forage	238.36891	465	20	25.31338967	1	4.61	n/a	n/a	n/a
1052.935337	2.7	forage	-43.49010445	310	40	277.8342387	0	3.28	n/a	n/a	n/a
1061.551448	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.969	303.45	190	1
1071.483924	2.7	forage	-90.42441527	210	20	251.7675419	0	3.101	n/a	n/a	n/a
1080.683289	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.998	106	316.05	0
1095.88208	2.7	forage	-115.4989303	248.3333333	40	288.830919	0	4.598	n/a	n/a	n/a
1105.948027	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.893	455.8	460.2	1
1120.696802	2.7	forage	-107.9429338	276.6666667	5	272.3367285	0	3.807	n/a	n/a	n/a
1129.662822	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.425	257.25	152.5	1
1141.363466	2.7	forage	-37.84215415	271.6666667	20	241.0563603	0	3.757	n/a	n/a	n/a
1152.62778	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.964	105.75	79.8	1
1165.926698	2.7	forage	-80.96022501	191.6666667	20	239.1306272	0	4.905	n/a	n/a	n/a
1179.109096	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.811	250.2	148.05	1
1193.741205	2.7	forage	-39.18702279	240	20	203.5	0	3.835	n/a	n/a	n/a
1203.057262	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.238	28.25	112.85	1
1217.989393	2.7	forage	199.7617927	361.6666667	40	45.87704341	1	2.626	n/a	n/a	n/a
1229.021823	2.7	forage	-40.24036182	305	40	264	0	4.451	n/a	n/a	n/a
1237.654578	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.259	10.4	271.2	0
1247.853773	2.7	forage	-33.14007511	283.3333333	40	218.1165937	0	3.29	n/a	n/a	n/a
1255.419924	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.123	193.6	285.95	0
1265.019101	2.7	forage	-51.05213185	326.6666667	40	270.8417333	0	3.941	n/a	n/a	n/a
1273.235125	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.31	364.25	382.5	0
1283.36766	2.7	forage	93.48148316	355	40	140.4133595	1	7.632	n/a	n/a	n/a
1299.366401	2.7	forage	-63.81377697	286.6666667	40	253.3654494	0	3.808	n/a	n/a	n/a
1308.432495	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.975	218.25	126.9	1
1320.781411	2.7	forage	200.801908	413.3333333	5	35.39824456	1	5.362	n/a	n/a	n/a
1332.297284	2.7	forage	-8.904535318	298.3333333	20	230.409914	0	5.684	n/a	n/a	n/a
1342.346492	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.239	127.8	306	0
1354.728848	2.7	forage	66.74744228	338.3333333	20	165	1	12.03	n/a	n/a	n/a
1373.710735	2.7	forage	-48.90465771	250	40	242.2819023	0	7.544	n/a	n/a	n/a
1387.593027	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.647	415.95	202.8	1
1399.175455	2.7	forage	248.6119142	470	40	25.60110155	1	4.703	n/a	n/a	n/a
1410.274571	2.7	forage	-42.69120601	313.3333333	40	283.3325788	0	4.645	n/a	n/a	n/a
1421.257121	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.574	296.4	239.7	1
1431.889574	2.7	forage	110.748014	375	5	132.3435944	1	4.302	n/a	n/a	n/a
1443.388647	2.7	forage	-93.75805543	285	40	277.9006338	0	3.676	n/a	n/a	n/a
1450.304839	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.713	94	410.75	0
1462.08729	2.7	forage	-123.7283571	218.3333333	20	283.9774408	0	4.879	n/a	n/a	n/a
1470.253315	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.267	195	291.5	0
1481.385834	2.7	forage	-151.6232232	176.6666667	20	270.922514	0	5.83	n/a	n/a	n/a
1491.71834	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.81	100.8	241.15	0
1503.017588	2.7	forage	-91.13482387	228.3333333	5	261.3118304	0	3.439	n/a	n/a	n/a
1511.68351	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.645	364.9	242.25	1
1527.032895	2.7	forage	48.70539879	283.3333333	40	152.5835723	0	7.175	n/a	n/a	n/a
1537.41483	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.402	117.6	54.4	1
1551.29919	2.7	forage	203.6627416	341.6666667	20	36.65643076	1	4.381	n/a	n/a	n/a
1561.9796	2.7	forage	-37.53902386	275	20	253	0	5.539	n/a	n/a	n/a
1571.912718	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.585	154.1	35.2	0
1583.144557	2.7	forage	189.9971648	363.3333333	20	52.77244605	1	2.51	n/a	n/a	n/a
1596.027168	2.7	forage	-101.7114632	221.6666667	20	274.3047885	0	2.827	n/a	n/a	n/a
1603.359744	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.529	112.8	382.2	0
1615.142179	2.7	forage	163.3841289	415	40	86.61538655	1	9.449	n/a	n/a	n/a
1631.907521	2.7	forage	41.69987258	350	40	205.8799859	0	7.467	n/a	n/a	n/a
1644.689987	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.741	43	262	0
1656.557261	2.7	forage	116.5825713	375	20	121	1	4.857	n/a	n/a	n/a
1669.788006	2.7	forage	-49.68762135	300	40	263.9784216	0	3.754	n/a	n/a	n/a
1676.920833	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.782	62	437.5	0
1690.503054	2.7	forage	-88.930084	228.3333333	40	249.695463	0	2.911	n/a	n/a	n/a
1696.8526	1.8	engage	n/a	n/a	n/a	n/a	n/a	8.795	304	357.7	0
1714.734451	2.7	forage	105.8921382	458.3333333	5	154	1	5.32	n/a	n/a	n/a
1727.133864	2.7	forage	-14.66045135	365	5	262.5133042	0	3.467	n/a	n/a	n/a
1735.949604	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.154	197.75	122.2	1
1749.066039	2.7	forage	56.65087605	238.3333333	5	140.9085559	0	9.477	n/a	n/a	n/a
1762.96415	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.019	170.3	57.6	1
1775.11315	2.7	forage	-63.12572138	225	20	241.892938	0	4.965	n/a	n/a	n/a
1783.512612	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.695	83.6	305.9	0
1797.24481	2.7	forage	-41.9906829	241.6666667	40	234.6533877	0	2.97	n/a	n/a	n/a
1804.878862	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.73	110	133.4	1
1813.17689	2.7	forage	-57.9660329	196.6666667	5	202.5867914	0	5.054	n/a	n/a	n/a
1823.659473	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.053	61.2	352	0
1837.808949	2.7	forage	243.9945258	455	5	15.14305115	1	4.655	n/a	n/a	n/a
1850.290748	2.7	forage	-23.24688061	310	20	261.303531	0	4.789	n/a	n/a	n/a
1860.606631	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.714	122.4	202.95	0
1872.539047	2.7	forage	-79.77870664	286.6666667	40	257.6866606	0	2.948	n/a	n/a	n/a
1878.921901	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.911	190.35	47.4	1
1888.704442	2.7	forage	66.50036048	298.3333333	40	118.9002565	1	5.622	n/a	n/a	n/a
1904.289382	2.7	forage	36.96983384	266.6666667	20	146.4118757	0	3.127	n/a	n/a	n/a
1910.902821	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.905	89.3	237.8	0
1920.785323	2.7	forage	7.251667421	316.6666667	40	207.323525	0	4.365	n/a	n/a	n/a
1930.567957	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.584	342	241.4	1
