onset	duration	stage	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	RT	ExpValueLeft	ExpValueRight	Choice_isLeft
6.01863019	2.7	forage	-50.97041061	275	40	230.9333283	0	9.399	n/a	n/a	n/a
18.8649822	1.8	engage	n/a	n/a	n/a	n/a	n/a	5.638	184.5	163.3	1
36.98016642	2.7	forage	218.5533625	336.6666667	40	15.14305115	1	4.917	n/a	n/a	n/a
50.26251394	2.7	forage	-122.9043392	181.6666667	40	274.633444	0	4.386	n/a	n/a	n/a
59.96180517	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.222	376.3	207	1
73.41076604	2.7	forage	-97.22638533	155	20	230.1595493	0	7.295	n/a	n/a	n/a
83.90991836	1.8	engage	n/a	n/a	n/a	n/a	n/a	6.154	134.2	161.5	1
97.6922086	2.7	forage	-15.40879734	293.3333333	40	220	1	9.284	n/a	n/a	n/a
114.4779979	2.7	forage	-76.11325721	255	40	262.4203511	0	3.26	n/a	n/a	n/a
121.9903344	1.8	engage	n/a	n/a	n/a	n/a	n/a	3.858	63	380	0
135.3893483	2.7	forage	132.6436447	340	40	86.18769177	1	9.842	n/a	n/a	n/a
153.6878446	2.7	forage	-103.8831347	233.3333333	40	263.9756551	0	4.417	n/a	n/a	n/a
161.4708654	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.785	294.45	436.8	0
173.0030853	2.7	forage	-93.04748084	196.6666667	40	254.4203008	0	3.917	n/a	n/a	n/a
184.3688911	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.967	259.2	332.2	0
198.9343664	2.7	forage	-0.953027178	220	5	177.6595996	0	8.203	n/a	n/a	n/a
210.4502197	1.8	engage	n/a	n/a	n/a	n/a	n/a	1.766	82.5	212.85	0
221.61599	2.7	forage	205.1921516	388.3333333	5	26.39784216	1	4.935	n/a	n/a	n/a
232.5317739	2.7	forage	73.30837986	306.6666667	40	158.9256828	1	10.596	n/a	n/a	n/a
251.863644	2.7	forage	33.19016649	331.6666667	20	198	1	9.032	n/a	n/a	n/a
267.6957439	2.7	forage	-98.83701859	233.3333333	5	275.3339118	0	2.808	n/a	n/a	n/a
274.9953051	1.8	engage	n/a	n/a	n/a	n/a	n/a	2.941	400.35	313.6	1
286.1110633	2.7	forage	164.8418691	355	40	76.29178613	1	5.954	n/a	n/a	n/a
299.0933853	2.7	forage	-121.5579766	213.3333333	40	283.974951	0	2.915	n/a	n/a	n/a
307.4428099	1.8	engage	n/a	n/a	n/a	n/a	n/a	4.294	196.1	162.5	1
319.7417389	2.7	forage	1.73075298	251.6666667	5	174.4206277	0	5.561	n/a	n/a	n/a
