onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018166177	2.7	forage	3.641	-107.9429338	276.6666667	40	272.3367285	0	n/a	n/a	n/a	n/a
15.83184093	1.8	engage	1.352	n/a	n/a	n/a	n/a	n/a	0	441	262.5	1
24.93109031	2.7	forage	3.221	-57.9660329	196.6666667	5	202.5867914	0	n/a	n/a	n/a	n/a
34.49710993	1.8	engage	2.086	n/a	n/a	n/a	n/a	n/a	0	142.8	254	0
44.66290136	2.7	forage	3.673	132.5577738	308.3333333	40	99	1	n/a	n/a	n/a	n/a
55.89539893	2.7	forage	2.762	-87.62497862	213.3333333	20	268.641014	0	n/a	n/a	n/a	n/a
64.72809504	1.8	engage	1.233	n/a	n/a	n/a	n/a	n/a	0	53.75	356.2	0
74.67727522	2.7	forage	2.667	247.782013	473.3333333	40	20.30222323	1	n/a	n/a	n/a	n/a
84.55989122	2.7	forage	2.002	-26.03921667	321.6666667	5	270.8417333	0	n/a	n/a	n/a	n/a
93.94251923	1.8	engage	4.57	n/a	n/a	n/a	n/a	n/a	0	459	171.55	1
107.5581207	2.7	forage	3.06	214.567225	485	40	55	1	n/a	n/a	n/a	n/a
120.3404751	2.7	forage	3.259	-1.091313314	350	5	259.9222373	0	n/a	n/a	n/a	n/a
126.8066719	1.8	engage	4.323	n/a	n/a	n/a	n/a	n/a	0	311.75	210	1
139.2889817	2.7	forage	4.16	48.70539879	283.3333333	20	152.5835723	1	n/a	n/a	n/a	n/a
151.8880143	2.7	forage	2.792	142.6095233	313.3333333	5	61.76399577	1	n/a	n/a	n/a	n/a
161.8206694	2.7	forage	2.652	-83.44216421	251.6666667	20	258.5	0	n/a	n/a	n/a	n/a
168.6034634	1.8	engage	2.492	n/a	n/a	n/a	n/a	n/a	0	357.2	16.4	1
179.9191926	2.7	forage	4.201	219.385274	388.3333333	20	30.95530909	1	n/a	n/a	n/a	n/a
