onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.01826199	2.7	forage	4.255	-32.20645004	235	5	221.3727177	1	n/a	n/a	n/a	n/a
19.86796423	2.7	forage	4.309	-130.7455762	175	40	265.3370303	0	n/a	n/a	n/a	n/a
28.59764288	1.8	engage	2.587	n/a	n/a	n/a	n/a	n/a	0	316.2	206.8	1
41.36333723	2.7	forage	4.348	-51.36398572	278.3333333	5	248.3199789	0	n/a	n/a	n/a	n/a
50.02932771	1.8	engage	3.37	n/a	n/a	n/a	n/a	n/a	0	338.1	185.6	1
62.06165874	2.7	forage	3.393	164.9890264	280	20	41.12509431	1	n/a	n/a	n/a	n/a
74.02743124	2.7	forage	2.636	-82.23464111	196.6666667	20	246.5430813	1	n/a	n/a	n/a	n/a
86.14322521	2.7	forage	3.376	-97.78723907	213.3333333	20	264	0	n/a	n/a	n/a	n/a
97.67568375	1.8	engage	1.46	n/a	n/a	n/a	n/a	n/a	0	8	374.4	0
110.1746899	2.7	forage	3.376	118.9160254	418.3333333	40	137.5	1	n/a	n/a	n/a	n/a
122.2086007	2.7	forage	3.123	-44.60594705	311.6666667	20	269.2095217	0	n/a	n/a	n/a	n/a
129.6732901	1.8	engage	2.638	n/a	n/a	n/a	n/a	n/a	0	116	137.8	0
140.2890335	2.7	forage	2.703	-91.57922807	283.3333333	20	283.1663146	0	n/a	n/a	n/a	n/a
147.4052213	1.8	engage	2.419	n/a	n/a	n/a	n/a	n/a	0	141.55	392.2	0
161.4040755	2.7	forage	3.851	103.4918834	318.3333333	20	105.3490267	1	n/a	n/a	n/a	n/a
171.5032915	2.7	forage	2.64	10.41166608	301.6666667	40	186.2798903	1	n/a	n/a	n/a	n/a
181.5692629	2.7	forage	2.64	-113.5983167	256.6666667	5	278.5330466	0	n/a	n/a	n/a	n/a
189.301975	1.8	engage	2.386	n/a	n/a	n/a	n/a	n/a	0	209.35	157.3	1
201.167774	2.7	forage	2.47	-90.6715524	190	20	218.8278507	0	n/a	n/a	n/a	n/a
209.0838608	1.8	engage	2.243	n/a	n/a	n/a	n/a	n/a	0	77.55	298.85	0
219.416324	2.7	forage	2.529	80.57686736	290	20	121.308737	1	n/a	n/a	n/a	n/a
230.4655236	2.7	forage	4.088	6.014229667	256.6666667	5	181.8198028	0	n/a	n/a	n/a	n/a
240.114749	1.8	engage	2.502	n/a	n/a	n/a	n/a	n/a	0	268.2	158.7	1
251.2472587	2.7	forage	3.272	-63.10274131	275	20	240.4341834	0	n/a	n/a	n/a	n/a
