onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.017961521	2.7	forage	6.322	-69.67354593	233.3333333	5	237.6602535	0	n/a	n/a	n/a	n/a
16.46506622	1.8	engage	1.09	n/a	n/a	n/a	n/a	n/a	0	66.7	317.25	0
26.19764885	2.7	forage	5.492	-67.39722851	238.3333333	5	248.9546049	1	n/a	n/a	n/a	n/a
40.04651575	2.7	forage	4.148	-79.55539795	251.6666667	20	270.1871888	0	n/a	n/a	n/a	n/a
48.41261808	1.8	engage	1.001	n/a	n/a	n/a	n/a	n/a	0	458.45	120.35	1
57.27861211	2.7	forage	4.531	-106.2164596	206.6666667	40	261.7848951	1	n/a	n/a	n/a	n/a
68.92763074	2.7	forage	3.73	-41.13912949	255	40	225.5	0	n/a	n/a	n/a	n/a
78.12706018	1.8	engage	3.411	n/a	n/a	n/a	n/a	n/a	0	207.05	52.85	1
91.27606251	2.7	forage	5.719	-104.3101839	170	5	240.1002716	0	n/a	n/a	n/a	n/a
103.3084831	1.8	engage	1.454	n/a	n/a	n/a	n/a	n/a	0	339.75	159.6	1
113.8090341	2.7	forage	5.45	-79.59733749	281.6666667	5	283.974951	0	n/a	n/a	n/a	n/a
123.5235784	1.8	engage	1.526	n/a	n/a	n/a	n/a	n/a	0	336.55	177.5	1
134.256001	2.7	forage	6.86	-111.8775414	171.6666667	20	229.9260601	0	n/a	n/a	n/a	n/a
148.4383168	1.8	engage	6.221	n/a	n/a	n/a	n/a	n/a	0	166.5	165.6	0
163.7870148	2.7	forage	7.608	-163.4222138	123.3333333	40	257.7193049	1	n/a	n/a	n/a	n/a
177.6526277	2.7	forage	4.838	12.51675804	205	20	154	0	n/a	n/a	n/a	n/a
187.7186667	1.8	engage	7.9	n/a	n/a	n/a	n/a	n/a	0	190.4	52.2	0
203.5340628	2.7	forage	9.117	112.462242	343.3333333	20	110	1	n/a	n/a	n/a	n/a
220.7160201	2.7	forage	5.48	-52.15185521	290	5	253	0	n/a	n/a	n/a	n/a
230.6653155	1.8	engage	1.546	n/a	n/a	n/a	n/a	n/a	0	179.4	19.35	1
241.6164866	2.7	forage	6.764	-78.69329511	245	40	251.9747498	0	n/a	n/a	n/a	n/a
254.8301797	1.8	engage	2.261	n/a	n/a	n/a	n/a	n/a	0	35.4	331.2	0
266.0466713	2.7	forage	6.149	-98.76861325	233.3333333	20	281.791937	0	n/a	n/a	n/a	n/a
278.278314	1.8	engage	2.444	n/a	n/a	n/a	n/a	n/a	0	247.45	241.15	0
287.777598	2.7	forage	8.448	120.8182251	408.3333333	20	126.5	1	n/a	n/a	n/a	n/a
302.7431133	2.7	forage	10.852	-58.44350552	296.6666667	40	267.8641919	1	n/a	n/a	n/a	n/a
319.9084641	2.7	forage	4.926	13.54826048	378.3333333	5	225.5	0	n/a	n/a	n/a	n/a
328.1911986	1.8	engage	4.141	n/a	n/a	n/a	n/a	n/a	0	131.2	25.75	1
344.1413214	2.7	forage	8.143	-16.91362272	311.6666667	20	225.5	0	n/a	n/a	n/a	n/a
357.5056023	1.8	engage	3.129	n/a	n/a	n/a	n/a	n/a	0	108.65	21.6	0
369.0546962	2.7	forage	5.483	128.7665795	375	5	102.7629395	1	n/a	n/a	n/a	n/a
382.0870102	2.7	forage	4.58	-29.24329427	298.3333333	40	241.2248378	0	n/a	n/a	n/a	n/a
391.9196535	1.8	engage	3.564	n/a	n/a	n/a	n/a	n/a	0	144	317.25	0
403.5354657	2.7	forage	9.74	102.5030398	298.3333333	20	93.85161712	1	n/a	n/a	n/a	n/a
420.2514559	2.7	forage	8.423	-29.74776755	236.6666667	5	203.102183	0	n/a	n/a	n/a	n/a
434.1497201	1.8	engage	4.381	n/a	n/a	n/a	n/a	n/a	0	131.1	110	1
449.6985126	2.7	forage	12.592	-105.5319635	196.6666667	40	242.2841155	0	n/a	n/a	n/a	n/a
465.7972548	1.8	engage	4.628	n/a	n/a	n/a	n/a	n/a	0	265.2	284.35	0
482.0471072	2.7	forage	2.332	236.2287209	468.3333333	5	26.38622303	1	n/a	n/a	n/a	n/a
492.5126785	2.7	forage	8.034	3.82867059	336.6666667	40	248.9042553	1	n/a	n/a	n/a	n/a
508.8772535	2.7	forage	4.382	-30.73889811	385	40	286	0	n/a	n/a	n/a	n/a
517.6266728	1.8	engage	2.161	n/a	n/a	n/a	n/a	n/a	0	26.25	166.4	0
530.7782246	2.7	forage	2.675	98.46365709	315	5	115.5	0	n/a	n/a	n/a	n/a
539.5749183	1.8	engage	4.723	n/a	n/a	n/a	n/a	n/a	0	175.35	17	0
556.3092474	2.7	forage	5.591	-66.47566521	173.3333333	20	208.2110055	0	n/a	n/a	n/a	n/a
565.2896622	1.8	engage	4.202	n/a	n/a	n/a	n/a	n/a	0	180	110.7	0
578.8917372	2.7	forage	4.279	178.1275003	331.6666667	20	51.40636789	1	n/a	n/a	n/a	n/a
589.537711	2.7	forage	5.201	133.9500964	315	5	95.30871184	0	n/a	n/a	n/a	n/a
601.0202737	1.8	engage	3.251	n/a	n/a	n/a	n/a	n/a	0	135	38.5	1
615.1035996	2.7	forage	2.101	1.990615831	331.6666667	5	237.5805794	0	n/a	n/a	n/a	n/a
621.3353738	1.8	engage	2.556	n/a	n/a	n/a	n/a	n/a	0	108.9	225	0
632.0510875	2.7	forage	2.051	199.7943816	401.6666667	40	38.15142598	1	n/a	n/a	n/a	n/a
642.2504122	2.7	forage	2.792	-59.28526566	266.6666667	40	263.3814194	1	n/a	n/a	n/a	n/a
653.6181796	2.7	forage	4.106	-32.63704039	335	5	258.5	0	n/a	n/a	n/a	n/a
661.8989265	1.8	engage	2.712	n/a	n/a	n/a	n/a	n/a	0	331.35	12.9	1
672.4479963	2.7	forage	4.689	82.78072196	253.3333333	5	86.18769177	1	n/a	n/a	n/a	n/a
685.2663233	2.7	forage	6.29	-78.4717754	200	5	214.0532166	0	n/a	n/a	n/a	n/a
696.7462067	1.8	engage	3.369	n/a	n/a	n/a	n/a	n/a	0	93.6	305.45	0
709.9785502	2.7	forage	11.088	172.4850645	416.6666667	40	80.75436346	0	n/a	n/a	n/a	n/a
725.1773991	1.8	engage	1.649	n/a	n/a	n/a	n/a	n/a	0	27.75	114	0
733.4933792	2.7	forage	6.597	-128.6780159	146.6666667	40	257.5190131	0	n/a	n/a	n/a	n/a
745.3591536	1.8	engage	2.412	n/a	n/a	n/a	n/a	n/a	0	268.95	244.8	1
756.8249039	2.7	forage	5.737	26.39976024	268.3333333	40	176.7458377	0	n/a	n/a	n/a	n/a
768.9074087	1.8	engage	4.166	n/a	n/a	n/a	n/a	n/a	0	130.8	152.25	0
782.1562748	2.7	forage	4.895	228.0745419	455	20	30.29716815	1	n/a	n/a	n/a	n/a
792.9554664	2.7	forage	2.8	-30.30891639	311.6666667	20	264.3505105	1	n/a	n/a	n/a	n/a
802.5714326	2.7	forage	4.207	-44.42164546	376.6666667	5	291.5	0	n/a	n/a	n/a	n/a
810.8874948	1.8	engage	6.172	n/a	n/a	n/a	n/a	n/a	0	336.55	20.4	1
827.7694258	2.7	forage	4.241	192.3594454	318.3333333	5	45.44575223	1	n/a	n/a	n/a	n/a
838.6852845	2.7	forage	6.812	-79.27921298	196.6666667	20	250.6493386	1	n/a	n/a	n/a	n/a
