onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.017962046	2.7	forage	5.085	-42.42147612	226.6666667	40	228.4144661	0	n/a	n/a	n/a	n/a
17.44845706	1.8	engage	4.388	n/a	n/a	n/a	n/a	n/a	0	85.8	281.25	0
29.9141569	2.7	forage	4.177	93.36221183	328.3333333	40	131.9311151	1	n/a	n/a	n/a	n/a
44.41310851	2.7	forage	8.023	111.0529517	341.6666667	20	114.454278	1	n/a	n/a	n/a	n/a
60.6950934	2.7	forage	4.374	-0.278084603	305	5	213.7779538	0	n/a	n/a	n/a	n/a
70.62773588	1.8	engage	4.096	n/a	n/a	n/a	n/a	n/a	0	49.5	175.5	0
82.91013461	2.7	forage	3.446	180.6009004	400	40	50.53410291	1	n/a	n/a	n/a	n/a
94.8091708	2.7	forage	4.141	25.51565481	316.6666667	40	201.93529	1	n/a	n/a	n/a	n/a
106.2416413	2.7	forage	4.379	-45.16764918	283.3333333	20	249.6924199	0	n/a	n/a	n/a	n/a
116.9575079	1.8	engage	3.784	n/a	n/a	n/a	n/a	n/a	0	186.2	155.8	1
127.9732541	2.7	forage	2.655	-112.399886	185	20	231.5364167	0	n/a	n/a	n/a	n/a
133.872935	1.8	engage	5.276	n/a	n/a	n/a	n/a	n/a	0	135.05	103.5	0
148.471767	2.7	forage	4.908	8.248386231	250	40	167.5454203	0	n/a	n/a	n/a	n/a
157.5210346	1.8	engage	2.723	n/a	n/a	n/a	n/a	n/a	0	111.15	130.35	1
169.4534308	2.7	forage	5.12	186.8285348	323.3333333	20	25.32334893	1	n/a	n/a	n/a	n/a
182.3357958	2.7	forage	5.933	-3.205977231	231.6666667	5	191.8271968	0	n/a	n/a	n/a	n/a
191.5185013	1.8	engage	3.311	n/a	n/a	n/a	n/a	n/a	0	95	193.75	0
205.0173436	2.7	forage	2.89	-88.6675469	248.3333333	40	259.426211	0	n/a	n/a	n/a	n/a
213.0168442	1.8	engage	3.276	n/a	n/a	n/a	n/a	n/a	0	242.25	167.7	1
224.2825229	2.7	forage	3.369	-124.8725282	183.3333333	20	270.2004678	0	n/a	n/a	n/a	n/a
231.9153938	1.8	engage	1.961	n/a	n/a	n/a	n/a	n/a	0	172.55	159	1
241.9645837	2.7	forage	3.216	146.9989739	291.6666667	20	43.90040742	1	n/a	n/a	n/a	n/a
252.4138028	2.7	forage	4.001	105.1393659	256.6666667	20	87.49871737	1	n/a	n/a	n/a	n/a
268.6791341	2.7	forage	4.015	-55.64144996	188.3333333	40	204.7601227	0	n/a	n/a	n/a	n/a
278.8451278	1.8	engage	4.022	n/a	n/a	n/a	n/a	n/a	0	136	156.8	0
289.3942061	2.7	forage	4.099	-27.5098486	200	5	182.0054323	1	n/a	n/a	n/a	n/a
302.2932335	2.7	forage	2.814	-132.7416696	198.3333333	40	275.9685378	0	n/a	n/a	n/a	n/a
308.3927902	1.8	engage	3.22	n/a	n/a	n/a	n/a	n/a	0	395.25	127.2	0
318.9419917	2.7	forage	3.798	-122.4396845	191.6666667	20	266.4272924	0	n/a	n/a	n/a	n/a
328.0080003	1.8	engage	1.526	n/a	n/a	n/a	n/a	n/a	0	171.45	335.4	0
336.6572922	2.7	forage	2.699	246.4871804	461.6666667	5	20.30222323	1	n/a	n/a	n/a	n/a
346.6398482	2.7	forage	2.565	2.534815485	341.6666667	5	253.7195564	0	n/a	n/a	n/a	n/a
353.3559822	1.8	engage	3.793	n/a	n/a	n/a	n/a	n/a	0	68.15	202.5	0
369.0214841	2.7	forage	3.654	-59.6096977	306.6666667	20	266.8381118	0	n/a	n/a	n/a	n/a
378.0708117	1.8	engage	1.686	n/a	n/a	n/a	n/a	n/a	0	426.3	156	1
389.7199466	2.7	forage	3.78	-113.0762118	213.3333333	5	270.9133846	0	n/a	n/a	n/a	n/a
396.9194147	1.8	engage	2.158	n/a	n/a	n/a	n/a	n/a	0	227.9	312.9	0
410.334948	2.7	forage	2.31	77.44484684	306.6666667	20	130.6032141	1	n/a	n/a	n/a	n/a
421.4007881	2.7	forage	2.595	-13.3052546	290	20	209	1	n/a	n/a	n/a	n/a
434.3997905	2.7	forage	3.766	-34.02250222	278.3333333	40	225.5	0	n/a	n/a	n/a	n/a
443.4324424	1.8	engage	3.668	n/a	n/a	n/a	n/a	n/a	0	32.55	108.65	1
455.3148732	2.7	forage	1.851	-88.42398773	236.6666667	40	256.5562849	0	n/a	n/a	n/a	n/a
461.2643901	1.8	engage	3.357	n/a	n/a	n/a	n/a	n/a	0	107.8	186.9	0
475.0299201	2.7	forage	2.638	191.0200543	420	20	63.6050752	1	n/a	n/a	n/a	n/a
485.0958764	2.7	forage	3.604	-33.02307228	318.3333333	5	262.9443187	0	n/a	n/a	n/a	n/a
492.845271	1.8	engage	4.064	n/a	n/a	n/a	n/a	n/a	0	187.2	243.2	0
506.0276494	2.7	forage	3.649	153.9283487	373.3333333	5	57.19684624	1	n/a	n/a	n/a	n/a
519.8098665	2.7	forage	5.114	-6.183260399	281.6666667	40	207.6826115	0	n/a	n/a	n/a	n/a
529.0091492	1.8	engage	2.555	n/a	n/a	n/a	n/a	n/a	0	125.05	174	1
540.0416394	2.7	forage	2.978	118.9160254	418.3333333	40	137.5	1	n/a	n/a	n/a	n/a
552.5240625	2.7	forage	7.36	-32.36319769	315	5	260.2876867	0	n/a	n/a	n/a	n/a
563.0566302	1.8	engage	2.413	n/a	n/a	n/a	n/a	n/a	0	293.25	92	1
574.0056938	2.7	forage	5.862	-89.35056754	181.6666667	5	212.3894673	0	n/a	n/a	n/a	n/a
586.2214441	1.8	engage	1.839	n/a	n/a	n/a	n/a	n/a	0	100.8	147	0
597.2705198	2.7	forage	3.251	-121.500176	178.3333333	20	249.6924199	0	n/a	n/a	n/a	n/a
605.7866139	1.8	engage	2.122	n/a	n/a	n/a	n/a	n/a	0	222.95	231.8	0
617.40235	2.7	forage	2.151	140.4213822	266.6666667	40	60.11712188	1	n/a	n/a	n/a	n/a
626.9516555	2.7	forage	5.012	-58.39487115	171.6666667	40	203.808737	1	n/a	n/a	n/a	n/a
642.9504099	2.7	forage	3.853	146.3687742	268.3333333	20	54.31253458	1	n/a	n/a	n/a	n/a
655.199517	2.7	forage	2.34	18.34823533	205	40	156.5412706	0	n/a	n/a	n/a	n/a
662.9655353	1.8	engage	6.566	n/a	n/a	n/a	n/a	n/a	0	177	75.95	1
677.114455	2.7	forage	3.473	-122.2271096	176.6666667	20	248.9546049	0	n/a	n/a	n/a	n/a
688.6971771	1.8	engage	7.165	n/a	n/a	n/a	n/a	n/a	0	92.45	357.2	0
709.9119142	2.7	forage	5.732	-60.34576061	295	5	259.8959559	0	n/a	n/a	n/a	n/a
720.8611229	1.8	engage	1.832	n/a	n/a	n/a	n/a	n/a	0	272.25	426.3	0
730.6270337	2.7	forage	4.754	103.4918834	318.3333333	40	105.3490267	1	n/a	n/a	n/a	n/a
744.7787082	2.7	forage	5.22	-118.7235904	235	5	267.5579448	0	n/a	n/a	n/a	n/a
754.1918693	1.8	engage	2.334	n/a	n/a	n/a	n/a	n/a	0	217	437.25	0
764.8910427	2.7	forage	4.048	-63.10274131	275	5	240.4341834	0	n/a	n/a	n/a	n/a
774.4237033	1.8	engage	2.861	n/a	n/a	n/a	n/a	n/a	0	213.9	58	1
786.3727502	2.7	forage	2.951	57.84025116	353.3333333	40	147.3831799	1	n/a	n/a	n/a	n/a
796.4886042	2.7	forage	2.908	41.78412052	346.6666667	5	161.8976913	1	n/a	n/a	n/a	n/a
808.2884377	2.7	forage	2.956	24.19824791	343.3333333	5	176.8592626	1	n/a	n/a	n/a	n/a
818.4703242	2.7	forage	3.655	33.11591469	336.6666667	5	168.9521654	0	n/a	n/a	n/a	n/a
825.5030435	1.8	engage	2.766	n/a	n/a	n/a	n/a	n/a	0	227.65	265.6	0
837.0355016	2.7	forage	2.977	220.9628573	456.6666667	40	35.39824456	1	n/a	n/a	n/a	n/a
849.6179514	2.7	forage	4.611	7.570308335	336.6666667	20	240.0034455	0	n/a	n/a	n/a	n/a
859.567074	1.8	engage	3.71	n/a	n/a	n/a	n/a	n/a	0	404.2	308.95	1
873.5493646	2.7	forage	2.632	-69.18391932	236.6666667	20	262.0330466	0	n/a	n/a	n/a	n/a
881.4321432	1.8	engage	2.036	n/a	n/a	n/a	n/a	n/a	0	416.5	177.1	1
