onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018021887	2.7	forage	3.399	180.765265	356.6666667	20	38.15142598	1	n/a	n/a	n/a	n/a
16.73183002	2.7	forage	6.493	-84.60833794	246.6666667	40	271.2381671	0	n/a	n/a	n/a	n/a
28.91431371	1.8	engage	4.303	n/a	n/a	n/a	n/a	n/a	0	403	65.55	1
43.27975405	2.7	forage	4.016	38.57891789	316.6666667	40	175.5684322	1	n/a	n/a	n/a	n/a
55.67887415	2.7	forage	6.664	89.58289489	310	40	131.3188974	0	n/a	n/a	n/a	n/a
68.86117389	1.8	engage	1.826	n/a	n/a	n/a	n/a	n/a	0	158.6	99	1
78.46039359	2.7	forage	2.803	171.1709958	311.6666667	5	26.38622303	1	n/a	n/a	n/a	n/a
88.64301843	2.7	forage	2.046	-92.76609493	186.6666667	5	238.4154972	0	n/a	n/a	n/a	n/a
93.84265009	1.8	engage	1.149	n/a	n/a	n/a	n/a	n/a	0	368.95	101.5	1
104.0448984	2.7	forage	2.152	245.2669685	470	40	15.14858408	1	n/a	n/a	n/a	n/a
113.3578105	2.7	forage	4.274	-3.112212665	326.6666667	40	250.343368	0	n/a	n/a	n/a	n/a
120.7239388	1.8	engage	4.203	n/a	n/a	n/a	n/a	n/a	0	123.75	241.5	0
135.7060183	2.7	forage	14.766	-82.30302802	181.6666667	20	225.1569589	0	n/a	n/a	n/a	n/a
155.8378856	1.8	engage	2.914	n/a	n/a	n/a	n/a	n/a	0	70	221.4	0
166.4406335	2.7	forage	4.963	71.15852657	305	20	132	1	n/a	n/a	n/a	n/a
178.4213611	2.7	forage	5.851	-11.89980048	273.3333333	5	203.1901564	0	n/a	n/a	n/a	n/a
187.7520684	1.8	engage	1.136	n/a	n/a	n/a	n/a	n/a	0	199.8	28.35	1
200.417791	2.7	forage	7.104	-61.7116359	266.6666667	40	240.6245159	0	n/a	n/a	n/a	n/a
212.6169173	1.8	engage	2.976	n/a	n/a	n/a	n/a	n/a	0	272.25	78.4	1
224.315986	2.7	forage	6.259	13.83296615	315	40	186.8705297	1	n/a	n/a	n/a	n/a
236.8149978	2.7	forage	7.409	62.04912563	316.6666667	20	145.2275539	0	n/a	n/a	n/a	n/a
249.5473968	1.8	engage	3.564	n/a	n/a	n/a	n/a	n/a	0	26	114.8	0
261.0297605	2.7	forage	3.274	230.369081	475	5	32.30174539	1	n/a	n/a	n/a	n/a
270.4957906	2.7	forage	4.656	-26.96385997	325	5	269.843871	0	n/a	n/a	n/a	n/a
279.6451162	1.8	engage	2.731	n/a	n/a	n/a	n/a	n/a	0	256.8	152.5	1
294.1772964	2.7	forage	5.67	-45.6286337	215	40	211.3246567	0	n/a	n/a	n/a	n/a
307.3429162	1.8	engage	3.224	n/a	n/a	n/a	n/a	n/a	0	131.2	93.5	1
319.3419801	2.7	forage	6.594	27.22707946	351.6666667	40	194.4296062	0	n/a	n/a	n/a	n/a
330.1078856	1.8	engage	2.757	n/a	n/a	n/a	n/a	n/a	0	165	197.6	0
343.7734475	2.7	forage	5.21	-1.397615814	240	5	181.8233992	0	n/a	n/a	n/a	n/a
356.4558933	1.8	engage	1.152	n/a	n/a	n/a	n/a	n/a	0	104.65	178.2	0
366.4550433	2.7	forage	9.69	-20.85710142	281.6666667	40	216.1739852	1	n/a	n/a	n/a	n/a
383.6703685	2.7	forage	1.995	119.0009188	330	20	97.06375434	0	n/a	n/a	n/a	n/a
390.1866641	1.8	engage	1.198	n/a	n/a	n/a	n/a	n/a	0	135.85	44.25	1
401.0356837	2.7	forage	2.308	-63.06426907	283.3333333	20	267.8641919	0	n/a	n/a	n/a	n/a
407.5352501	1.8	engage	4.711	n/a	n/a	n/a	n/a	n/a	0	330.2	301	1
423.4506821	2.7	forage	4.271	197.9470684	401.6666667	20	55.56574116	1	n/a	n/a	n/a	n/a
433.4498625	2.7	forage	4.647	-65.17186929	271.6666667	40	271.9964539	0	n/a	n/a	n/a	n/a
442.3159672	1.8	engage	2.638	n/a	n/a	n/a	n/a	n/a	0	265	380.55	1
456.2148488	2.7	forage	3.8	-104.3101839	170	40	240.1002716	0	n/a	n/a	n/a	n/a
465.3642629	1.8	engage	2.7	n/a	n/a	n/a	n/a	n/a	0	303.75	193.2	1
476.4799531	2.7	forage	3.162	-78.69899401	281.6666667	40	268.279161	0	n/a	n/a	n/a	n/a
485.1293165	1.8	engage	2.27	n/a	n/a	n/a	n/a	n/a	0	212.8	262.35	0
494.7285941	2.7	forage	5.111	133.7219187	431.6666667	5	107.1228811	1	n/a	n/a	n/a	n/a
507.527584	2.7	forage	5.216	-46.48915045	318.3333333	20	261.3400483	0	n/a	n/a	n/a	n/a
518.1934405	1.8	engage	3.936	n/a	n/a	n/a	n/a	n/a	0	227.95	192	1
531.0758183	2.7	forage	3.373	213.8723639	395	20	20.58799859	1	n/a	n/a	n/a	n/a
540.3584476	2.7	forage	5.043	-53.04361451	258.3333333	20	254.1585936	0	n/a	n/a	n/a	n/a
550.8076027	1.8	engage	2.271	n/a	n/a	n/a	n/a	n/a	0	412.5	134.9	1
562.4066828	2.7	forage	4.514	-31.00953171	285	40	245.3208591	0	n/a	n/a	n/a	n/a
571.0894582	1.8	engage	1.207	n/a	n/a	n/a	n/a	n/a	0	410.4	152	1
578.8554536	2.7	forage	2.914	-54.44215247	296.6666667	20	280.8294854	0	n/a	n/a	n/a	n/a
585.8882956	1.8	engage	2.961	n/a	n/a	n/a	n/a	n/a	0	382.5	413.4	0
596.354088	2.7	forage	3.423	233.7600976	485	5	35.56450883	1	n/a	n/a	n/a	n/a
607.6198878	2.7	forage	4.283	19.59089248	356.6666667	40	243.4866958	0	n/a	n/a	n/a	n/a
615.2693608	1.8	engage	2.082	n/a	n/a	n/a	n/a	n/a	0	181.7	375.9	0
626.6184125	2.7	forage	5.188	-80.92571802	228.3333333	40	259.9097882	0	n/a	n/a	n/a	n/a
635.1844857	1.8	engage	9.416	n/a	n/a	n/a	n/a	n/a	0	124.95	135.8	0
654.8329762	2.7	forage	3.255	-26.42777526	290	20	222.1229817	0	n/a	n/a	n/a	n/a
662.2324365	1.8	engage	3.152	n/a	n/a	n/a	n/a	n/a	0	92.4	178.35	0
675.4480381	2.7	forage	6.194	72.18263334	290	40	132	1	n/a	n/a	n/a	n/a
689.1636421	2.7	forage	2.005	-83.32370437	200	20	237.8782506	0	n/a	n/a	n/a	n/a
696.6131518	1.8	engage	6.3	n/a	n/a	n/a	n/a	n/a	0	124.55	265.2	0
712.4784835	2.7	forage	9.874	36.46039938	386.6666667	5	209	1	n/a	n/a	n/a	n/a
729.3439533	2.7	forage	6.319	44.92453264	340	5	198.4633821	0	n/a	n/a	n/a	n/a
741.75974	1.8	engage	8.601	n/a	n/a	n/a	n/a	n/a	0	274.75	186.85	0
761.4581077	2.7	forage	3.437	-69.67354593	233.3333333	40	237.6602535	0	n/a	n/a	n/a	n/a
771.207445	1.8	engage	5.8	n/a	n/a	n/a	n/a	n/a	0	178.35	192.7	0
783.5398024	2.7	forage	4.404	-87.50707208	196.6666667	5	242.9643881	0	n/a	n/a	n/a	n/a
792.3891012	1.8	engage	7.404	n/a	n/a	n/a	n/a	n/a	0	237.8	163.2	1
809.8378066	2.7	forage	13.483	25.212045	355	40	198	1	n/a	n/a	n/a	n/a
829.1695482	2.7	forage	8.935	-31.14827893	321.6666667	20	244.969242	1	n/a	n/a	n/a	n/a
844.5684611	2.7	forage	5.161	-78.56701541	330	20	280.5	0	n/a	n/a	n/a	n/a
855.2176633	1.8	engage	1.19	n/a	n/a	n/a	n/a	n/a	0	60.2	252.45	0
867.5166476	2.7	forage	3.052	192.3594454	318.3333333	5	45.44575223	1	n/a	n/a	n/a	n/a
877.6825597	2.7	forage	2.607	-129.2035327	175	5	278.4890599	0	n/a	n/a	n/a	n/a
885.3654117	1.8	engage	3.267	n/a	n/a	n/a	n/a	n/a	0	197.6	105.35	1
897.6477347	2.7	forage	16.952	-78.69329511	245	40	251.9747498	0	n/a	n/a	n/a	n/a
918.7961576	1.8	engage	1.94	n/a	n/a	n/a	n/a	n/a	0	84	209.3	0
930.7118053	2.7	forage	3.344	247.9461747	465	5	15.14305115	1	n/a	n/a	n/a	n/a
940.2944402	2.7	forage	2.617	-16.86019315	316.6666667	40	259.8937428	0	n/a	n/a	n/a	n/a
948.3271988	1.8	engage	4.115	n/a	n/a	n/a	n/a	n/a	0	320.95	191.25	1
960.0762854	2.7	forage	3.246	-20.65669903	283.3333333	40	216.1670691	0	n/a	n/a	n/a	n/a
967.542435	1.8	engage	2.555	n/a	n/a	n/a	n/a	n/a	0	114.7	174.25	0
978.8581579	2.7	forage	5.207	-71.06398739	226.6666667	5	251.9653438	0	n/a	n/a	n/a	n/a
988.3907471	1.8	engage	3.152	n/a	n/a	n/a	n/a	n/a	0	124.2	81	1
1000.556464	2.7	forage	3.875	-34.46194524	276.6666667	5	228.9085559	1	n/a	n/a	n/a	n/a
1011.588945	2.7	forage	7.01	67.11204332	318.3333333	5	143	1	n/a	n/a	n/a	n/a
1024.904608	2.7	forage	2.335	-48.13838506	261.6666667	40	237.4760072	0	n/a	n/a	n/a	n/a
1030.454225	1.8	engage	4.37	n/a	n/a	n/a	n/a	n/a	0	168.75	55.8	1
1043.836504	2.7	forage	2.052	-91.5687893	236.6666667	40	265.4548815	0	n/a	n/a	n/a	n/a
1049.102763	1.8	engage	1.611	n/a	n/a	n/a	n/a	n/a	0	109.25	372.5	0
1059.335346	2.7	forage	4.68	-126.962294	166.6666667	40	259.8959559	0	n/a	n/a	n/a	n/a
1067.184739	1.8	engage	2.097	n/a	n/a	n/a	n/a	n/a	0	317.25	171.5	1
1075.950736	2.7	forage	3.882	193.1584729	385	40	48.43269956	1	n/a	n/a	n/a	n/a
1088.666438	2.7	forage	5.261	-39.37075264	303.3333333	40	262.4314169	0	n/a	n/a	n/a	n/a
1098.249045	1.8	engage	2.135	n/a	n/a	n/a	n/a	n/a	0	196.8	69.55	1
1108.448167	2.7	forage	3.737	-103.4819057	240	5	277.8350687	0	n/a	n/a	n/a	n/a
1115.397775	1.8	engage	3.161	n/a	n/a	n/a	n/a	n/a	0	355	137.7	1
1129.729871	2.7	forage	4.495	228.1624231	428.3333333	20	25.32334893	1	n/a	n/a	n/a	n/a
1140.94801	2.7	forage	3.183	7.316052177	326.6666667	5	236.7619838	0	n/a	n/a	n/a	n/a
1152.444902	1.8	engage	3.996	n/a	n/a	n/a	n/a	n/a	0	166.75	269.1	0
1165.910429	2.7	forage	2.913	231.4645256	393.3333333	20	15.14858408	1	n/a	n/a	n/a	n/a
1174.526452	2.7	forage	2.531	-59.37368174	248.3333333	5	261.3118304	0	n/a	n/a	n/a	n/a
1183.525835	1.8	engage	2.618	n/a	n/a	n/a	n/a	n/a	0	342.35	226.95	1
1197.541382	2.7	forage	4.427	102.5030398	298.3333333	20	93.85161712	1	n/a	n/a	n/a	n/a
