onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018457839	2.7	forage	3.779	-79.67673491	273.3333333	5	267.6522811	0	n/a	n/a	n/a	n/a
13.94877523	1.8	engage	1.543	n/a	n/a	n/a	n/a	n/a	0	371	163.2	1
24.36455043	2.7	forage	4.335	43.32784233	286.6666667	40	151.880338	0	n/a	n/a	n/a	n/a
34.03057427	1.8	engage	1.351	n/a	n/a	n/a	n/a	n/a	0	138	48.6	1
44.26305072	2.7	forage	1.902	168.561283	340	5	55	1	n/a	n/a	n/a	n/a
52.1791202	2.7	forage	4.602	-2.103081669	286.6666667	40	214.5	0	n/a	n/a	n/a	n/a
61.1953701	1.8	engage	1.235	n/a	n/a	n/a	n/a	n/a	0	23.25	218.4	0
73.24422863	2.7	forage	4.609	126.5907583	355	5	101.2167648	1	n/a	n/a	n/a	n/a
86.04390552	2.7	forage	2.514	-81.51733481	243.3333333	5	256.5513053	0	n/a	n/a	n/a	n/a
91.57614698	1.8	engage	1.204	n/a	n/a	n/a	n/a	n/a	0	362.4	99	1
100.04523	2.7	forage	8.041	68.27329276	363.3333333	40	153.9975102	1	n/a	n/a	n/a	n/a
115.3076685	2.7	forage	3	10.19569773	330	5	205.8799859	0	n/a	n/a	n/a	n/a
124.7069286	1.8	engage	2.052	n/a	n/a	n/a	n/a	n/a	0	143	274	0
134.7894152	2.7	forage	3.647	-32.41753098	246.6666667	40	219.7847694	0	n/a	n/a	n/a	n/a
143.8055253	1.8	engage	1.102	n/a	n/a	n/a	n/a	n/a	0	289.8	177.6	1
155.0545775	2.7	forage	9.968	86.53495632	228.3333333	40	77	1	n/a	n/a	n/a	n/a
174.4364489	2.7	forage	3.759	61.94160254	200	20	97.06375434	0	n/a	n/a	n/a	n/a
182.6358242	1.8	engage	1.864	n/a	n/a	n/a	n/a	n/a	0	152	34.5	1
193.7350214	2.7	forage	6.374	-135.0823902	196.6666667	40	272.8388411	0	n/a	n/a	n/a	n/a
205.5507672	1.8	engage	4.334	n/a	n/a	n/a	n/a	n/a	0	119	362.5	0
217.6830508	2.7	forage	5.616	-143.800171	160	20	272.8388411	0	n/a	n/a	n/a	n/a
227.4157727	1.8	engage	4.662	n/a	n/a	n/a	n/a	n/a	0	30.8	115	0
240.0147241	2.7	forage	4.102	-19.15325688	226.6666667	5	197.208239	0	n/a	n/a	n/a	n/a
250.2639646	1.8	engage	1.79	n/a	n/a	n/a	n/a	n/a	0	91.65	63.6	1
261.8296936	2.7	forage	5.8	50.81925121	250	5	139.471933	0	n/a	n/a	n/a	n/a
272.9455892	1.8	engage	2.203	n/a	n/a	n/a	n/a	n/a	0	78.65	155.25	0
283.2114015	2.7	forage	5.45	89.57374713	238.3333333	5	91.09207283	1	n/a	n/a	n/a	n/a
298.0272983	2.7	forage	4.891	-59.27471623	196.6666667	20	211.0897842	0	n/a	n/a	n/a	n/a
308.0929387	1.8	engage	5.074	n/a	n/a	n/a	n/a	n/a	0	92	95.2	1
321.3084682	2.7	forage	3.641	124.4996831	421.6666667	20	111.0830693	1	n/a	n/a	n/a	n/a
333.6409267	2.7	forage	3.787	-2.549090421	346.6666667	5	225.9080529	0	n/a	n/a	n/a	n/a
341.5403605	1.8	engage	2.977	n/a	n/a	n/a	n/a	n/a	0	115.5	338	1
