onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018141884	2.7	forage	6.408	74.45607364	320	20	146.6035914	1	n/a	n/a	n/a	n/a
21.31463778	2.7	forage	2.993	-133.1201952	218.3333333	20	278.4915497	0	n/a	n/a	n/a	n/a
29.54746668	1.8	engage	2.43	n/a	n/a	n/a	n/a	n/a	0	303.8	143	1
41.79640988	2.7	forage	6.652	201.0520514	453.3333333	20	73.30179568	1	n/a	n/a	n/a	n/a
54.26213942	2.7	forage	4.09	-52.82104354	313.3333333	40	286.3233992	0	n/a	n/a	n/a	n/a
62.82829556	1.8	engage	2.02	n/a	n/a	n/a	n/a	n/a	0	214.2	437.25	0
75.26288558	2.7	forage	3.731	251.4830391	418.3333333	5	15.14305115	1	n/a	n/a	n/a	n/a
87.49560262	2.7	forage	6.596	-21.21292356	326.6666667	20	269.4789749	1	n/a	n/a	n/a	n/a
102.2917342	2.7	forage	2.501	-46.41683517	270	5	269.9813641	0	n/a	n/a	n/a	n/a
109.9745743	1.8	engage	2.475	n/a	n/a	n/a	n/a	n/a	0	137.8	293.15	0
124.4589349	2.7	forage	4.897	-53.405154	216.6666667	5	222.1661385	0	n/a	n/a	n/a	n/a
132.6894881	1.8	engage	1.561	n/a	n/a	n/a	n/a	n/a	0	111	387.2	0
142.1554102	2.7	forage	4.359	102.7081267	338.3333333	20	118.9085559	1	n/a	n/a	n/a	n/a
154.3559285	2.7	forage	3.559	-29.53410459	255	5	218.1882451	0	n/a	n/a	n/a	n/a
164.2370512	1.8	engage	1.836	n/a	n/a	n/a	n/a	n/a	0	84.05	231.8	0
175.4194971	2.7	forage	2.95	-43.71208524	315	5	271.083522	0	n/a	n/a	n/a	n/a
184.8522278	1.8	engage	3.678	n/a	n/a	n/a	n/a	n/a	0	77	108.65	0
199.3177136	2.7	forage	3.603	-88.78460507	315	5	288.830919	0	n/a	n/a	n/a	n/a
210.3169305	1.8	engage	2.966	n/a	n/a	n/a	n/a	n/a	0	201.4	104	1
223.6675792	2.7	forage	3.183	201.668179	446.6666667	40	55.56574116	1	n/a	n/a	n/a	n/a
236.1486255	2.7	forage	3.614	-55.46522643	308.3333333	5	278.4890599	0	n/a	n/a	n/a	n/a
243.214333	1.8	engage	2.074	n/a	n/a	n/a	n/a	n/a	0	192.4	298.9	0
256.0486706	2.7	forage	4.434	159.360054	308.3333333	20	51.20220311	1	n/a	n/a	n/a	n/a
269.1323279	2.7	forage	2.584	-113.009909	190	40	251.7675419	0	n/a	n/a	n/a	n/a
276.2118785	1.8	engage	2.196	n/a	n/a	n/a	n/a	n/a	0	208	196	1
287.3804075	2.7	forage	4.921	-101.2464396	175	20	247.8737488	0	n/a	n/a	n/a	n/a
297.6435426	1.8	engage	3.646	n/a	n/a	n/a	n/a	n/a	0	343.2	372.6	0
310.5118979	2.7	forage	4.26	-72.61593481	266.6666667	20	269.2095217	0	n/a	n/a	n/a	n/a
318.9085918	1.8	engage	2.357	n/a	n/a	n/a	n/a	n/a	0	348	278.25	1
331.0742504	2.7	forage	5.592	137.8233623	408.3333333	40	99	1	n/a	n/a	n/a	n/a
342.706711	2.7	forage	7.686	12.0713948	320	40	217.2520748	1	n/a	n/a	n/a	n/a
357.9889183	2.7	forage	3.508	-64.98611069	281.6666667	5	264.3505105	0	n/a	n/a	n/a	n/a
366.004926	1.8	engage	1.9	n/a	n/a	n/a	n/a	n/a	0	397.15	320.95	1
376.8707964	2.7	forage	3.452	-97.97058163	185	40	245.2624868	0	n/a	n/a	n/a	n/a
388.5032054	1.8	engage	2.625	n/a	n/a	n/a	n/a	n/a	0	295.2	260.85	1
397.7357643	2.7	forage	4.641	204.4695891	443.3333333	20	43.89210804	1	n/a	n/a	n/a	n/a
411.8180283	2.7	forage	9.224	-37.21828044	306.6666667	40	264.7203863	0	n/a	n/a	n/a	n/a
424.2504547	1.8	engage	2.24	n/a	n/a	n/a	n/a	n/a	0	136	111.8	1
433.416451	2.7	forage	7.282	32.64947102	266.6666667	5	174.4206277	0	n/a	n/a	n/a	n/a
443.7989891	1.8	engage	2.453	n/a	n/a	n/a	n/a	n/a	0	79.5	199.65	0
453.3315815	2.7	forage	5.782	187.1660061	308.3333333	5	25.32334893	1	n/a	n/a	n/a	n/a
466.3989776	2.7	forage	2.837	32.82735443	260	40	170.5	1	n/a	n/a	n/a	n/a
477.9153538	2.7	forage	3.008	83.45311939	278.3333333	20	126.5	1	n/a	n/a	n/a	n/a
489.5620616	2.7	forage	5.784	18.49399091	220	20	167.8884613	0	n/a	n/a	n/a	n/a
499.5613685	1.8	engage	1.513	n/a	n/a	n/a	n/a	n/a	0	171	63.55	1
512.110393	2.7	forage	7.659	163.3521671	435	20	82.07092199	1	n/a	n/a	n/a	n/a
529.8954495	2.7	forage	3.053	-5.688488171	323.3333333	5	238.0198934	0	n/a	n/a	n/a	n/a
538.2084828	1.8	engage	4.539	n/a	n/a	n/a	n/a	n/a	0	369	227.25	1
552.6778677	2.7	forage	4.43	-31.86733732	318.3333333	20	262.0355364	0	n/a	n/a	n/a	n/a
561.2566233	1.8	engage	1.579	n/a	n/a	n/a	n/a	n/a	0	276	379.75	0
575.4745894	2.7	forage	6.298	-3.515913016	263.3333333	20	192.5893567	0	n/a	n/a	n/a	n/a
585.1881829	1.8	engage	4.404	n/a	n/a	n/a	n/a	n/a	0	275.5	204.4	1
599.5203787	2.7	forage	10.584	9.207296749	260	20	170.4800815	0	n/a	n/a	n/a	n/a
616.4690851	1.8	engage	4.212	n/a	n/a	n/a	n/a	n/a	0	85.25	27.3	1
632.9542179	2.7	forage	5.28	-19.88028268	270	20	198	0	n/a	n/a	n/a	n/a
643.6836544	1.8	engage	3.869	n/a	n/a	n/a	n/a	n/a	0	131.4	44.25	1
655.6327678	2.7	forage	7.457	-70.53212615	306.6666667	40	280.3057945	1	n/a	n/a	n/a	n/a
673.2813413	2.7	forage	5.176	-1.865368945	335	5	225.5	1	n/a	n/a	n/a	n/a
685.8470955	2.7	forage	3.451	70.28860386	340	40	164.2450329	1	n/a	n/a	n/a	n/a
696.8128999	2.7	forage	2.486	-48.22051205	270	40	248.2812484	0	n/a	n/a	n/a	n/a
702.6458698	1.8	engage	1.723	n/a	n/a	n/a	n/a	n/a	0	246.6	171.5	1
711.2284714	2.7	forage	6.479	6.054048254	221.6666667	40	159.5	0	n/a	n/a	n/a	n/a
720.9778126	1.8	engage	1.681	n/a	n/a	n/a	n/a	n/a	0	165.3	13.9	1
731.4269974	2.7	forage	5.471	237.7291937	466.6666667	20	20.30581963	1	n/a	n/a	n/a	n/a
744.1758946	2.7	forage	4.441	-8.042506245	326.6666667	20	252.4693929	0	n/a	n/a	n/a	n/a
751.8587779	1.8	engage	3.207	n/a	n/a	n/a	n/a	n/a	0	249.6	285.95	0
762.8744912	2.7	forage	4.696	-109.5034388	145	20	233.8500075	0	n/a	n/a	n/a	n/a
771.9571984	1.8	engage	1.494	n/a	n/a	n/a	n/a	n/a	0	298.85	102.9	1
781.4730552	2.7	forage	7.831	100.9668243	271.6666667	5	93.5	1	n/a	n/a	n/a	n/a
800.1050622	2.7	forage	2.586	-147.2034891	195	5	291.0020371	0	n/a	n/a	n/a	n/a
805.7712399	1.8	engage	4.718	n/a	n/a	n/a	n/a	n/a	0	121.9	61.1	1
819.9563015	2.7	forage	5.255	107.9810925	198.3333333	40	36.35848297	1	n/a	n/a	n/a	n/a
832.6525128	2.7	forage	4.374	-102.5584796	120	40	192.8350184	0	n/a	n/a	n/a	n/a
841.2352186	1.8	engage	2.43	n/a	n/a	n/a	n/a	n/a	0	184.3	146.3	1
850.3344189	2.7	forage	7.757	-6.282465671	310	40	196.5263065	1	n/a	n/a	n/a	n/a
866.2209711	2.7	forage	5.207	-30.24886575	275	5	208.2898496	0	n/a	n/a	n/a	n/a
878.6823303	1.8	engage	1.575	n/a	n/a	n/a	n/a	n/a	0	313.65	193.75	1
892.4685432	2.7	forage	4.533	211.8794611	401.6666667	5	25.32334893	1	n/a	n/a	n/a	n/a
906.8672766	2.7	forage	3.528	-3.578582566	296.6666667	40	228.4092098	1	n/a	n/a	n/a	n/a
918.5170221	2.7	forage	2.918	-64.64531965	261.6666667	20	264.7203863	0	n/a	n/a	n/a	n/a
927.8452347	1.8	engage	1.294	n/a	n/a	n/a	n/a	n/a	0	264	213.2	1
938.930596	2.7	forage	7.144	-72.32908975	268.3333333	20	258.0274886	1	n/a	n/a	n/a	n/a
952.1433409	2.7	forage	7.058	9.522949885	270	40	187.4893869	0	n/a	n/a	n/a	n/a
965.3423455	1.8	engage	2.515	n/a	n/a	n/a	n/a	n/a	0	73.5	196.35	0
977.8117789	2.7	forage	3.433	-61.33447513	226.6666667	20	218.162517	0	n/a	n/a	n/a	n/a
985.7408293	1.8	engage	1.524	n/a	n/a	n/a	n/a	n/a	0	316.8	86.1	1
998.9260099	2.7	forage	4.607	204.432039	366.6666667	40	35.56450883	1	n/a	n/a	n/a	n/a
1009.805595	2.7	forage	4.521	87.98744027	321.6666667	40	149.6627433	1	n/a	n/a	n/a	n/a
1021.737988	2.7	forage	2.519	-81.50451688	230	40	265.6051003	0	n/a	n/a	n/a	n/a
1029.770828	1.8	engage	3.848	n/a	n/a	n/a	n/a	n/a	0	362.85	387.4	0
1043.940182	2.7	forage	3.193	-70.49678923	278.3333333	5	262.9443187	0	n/a	n/a	n/a	n/a
1051.552449	1.8	engage	2.651	n/a	n/a	n/a	n/a	n/a	0	135.2	172.8	0
1063.368151	2.7	forage	4.947	156.78376	405	5	82.5	1	n/a	n/a	n/a	n/a
1074.550673	2.7	forage	2.42	-13.23976326	305	40	237.3789045	0	n/a	n/a	n/a	n/a
1081.46679	1.8	engage	5.278	n/a	n/a	n/a	n/a	n/a	0	197.4	117	1
1099.948679	2.7	forage	11.559	-9.22706772	205	40	154	0	n/a	n/a	n/a	n/a
1114.79759	1.8	engage	2.388	n/a	n/a	n/a	n/a	n/a	0	112	18.75	1
1127.248723	2.7	forage	5.212	101.0162148	341.6666667	5	126.5	1	n/a	n/a	n/a	n/a
1138.945656	2.7	forage	9.088	-32.77798233	285	40	240.6245159	0	n/a	n/a	n/a	n/a
1154.394522	1.8	engage	1.598	n/a	n/a	n/a	n/a	n/a	0	301.5	134.4	1
1167.730734	2.7	forage	8.947	93.39072481	285	40	115.3893416	1	n/a	n/a	n/a	n/a
1183.429992	2.7	forage	4.197	-70.69151116	203.3333333	40	232.4103415	0	n/a	n/a	n/a	n/a
1193.041614	1.8	engage	6.68	n/a	n/a	n/a	n/a	n/a	0	179.4	130.5	0
1208.708506	2.7	forage	9.998	-128.6542427	231.6666667	40	286	0	n/a	n/a	n/a	n/a
1222.156065	1.8	engage	1.629	n/a	n/a	n/a	n/a	n/a	0	20	304.2	0
1233.507819	2.7	forage	3.263	-91.18087621	238.3333333	5	269.843871	0	n/a	n/a	n/a	n/a
1243.254395	1.8	engage	1.573	n/a	n/a	n/a	n/a	n/a	0	314.4	210	1
1252.536994	2.7	forage	4.265	232.9149992	455	20	20.56254716	1	n/a	n/a	n/a	n/a
1263.952725	2.7	forage	4.641	1.736968295	320	20	240.108571	0	n/a	n/a	n/a	n/a
1272.985471	1.8	engage	4.409	n/a	n/a	n/a	n/a	n/a	0	193.2	249.75	0
1285.08443	2.7	forage	4.508	240.1669433	470	5	25.32334893	1	n/a	n/a	n/a	n/a
1300.05002	2.7	forage	2.447	-38.92922556	316.6666667	5	277.8956541	0	n/a	n/a	n/a	n/a
1306.866253	1.8	engage	3.447	n/a	n/a	n/a	n/a	n/a	0	249.1	115.15	1
1318.315243	2.7	forage	5.925	-113.5598997	161.6666667	5	244.937981	0	n/a	n/a	n/a	n/a
1329.564423	1.8	engage	3.479	n/a	n/a	n/a	n/a	n/a	0	211.9	369.6	0
1340.851073	2.7	forage	4.385	11.23874554	323.3333333	5	198	1	n/a	n/a	n/a	n/a
1352.312726	2.7	forage	4.419	-26.453614	285	5	226.1880187	1	n/a	n/a	n/a	n/a
1365.178388	2.7	forage	4.473	11.22826987	323.3333333	20	198	1	n/a	n/a	n/a	n/a
1375.994148	2.7	forage	4.185	2.986855121	303.3333333	40	205.248403	1	n/a	n/a	n/a	n/a
1386.443421	2.7	forage	4.262	-43.90236239	310	5	242	1	n/a	n/a	n/a	n/a
1400.246629	2.7	forage	2.803	-54.72468186	273.3333333	5	245.8404004	0	n/a	n/a	n/a	n/a
1406.141904	1.8	engage	2.092	n/a	n/a	n/a	n/a	n/a	0	112.8	222.5	0
1418.427793	2.7	forage	3.255	-41.12083396	333.3333333	5	253.0517328	0	n/a	n/a	n/a	n/a
1427.12363	1.8	engage	2.663	n/a	n/a	n/a	n/a	n/a	0	270.6	200.9	1
1437.522866	2.7	forage	4.406	-76.11375518	308.3333333	5	291.5	1	n/a	n/a	n/a	n/a
1448.838566	2.7	forage	2.628	-63.26882115	250	40	259.9203008	0	n/a	n/a	n/a	n/a
1457.687957	1.8	engage	1.657	n/a	n/a	n/a	n/a	n/a	0	320	234.35	1
1467.137221	2.7	forage	4.2	132.7190584	353.3333333	40	101.2167648	1	n/a	n/a	n/a	n/a
1479.840194	2.7	forage	6.805	23.80242275	306.6666667	40	199.3655249	1	n/a	n/a	n/a	n/a
1493.168536	2.7	forage	3.201	135.799881	336.6666667	20	99.89937629	1	n/a	n/a	n/a	n/a
1503.284383	2.7	forage	3.574	-4.912791107	300	40	222.915296	1	n/a	n/a	n/a	n/a
1516.650117	2.7	forage	3.775	135.8039569	336.6666667	20	99.89550324	1	n/a	n/a	n/a	n/a
1527.869575	2.7	forage	4.18	-4.928025083	300	40	222.915296	0	n/a	n/a	n/a	n/a
1538.1985	1.8	engage	1.882	n/a	n/a	n/a	n/a	n/a	0	84	135.2	0
1548.930939	2.7	forage	2.263	200.0709907	411.6666667	20	40.60444646	1	n/a	n/a	n/a	n/a
1560.90118	2.7	forage	5.222	-59.15325017	276.6666667	5	263.3725668	0	n/a	n/a	n/a	n/a
1569.396092	1.8	engage	1.477	n/a	n/a	n/a	n/a	n/a	0	215	175.5	1
1579.895258	2.7	forage	3.21	240.8309491	476.6666667	5	25.32334893	1	n/a	n/a	n/a	n/a
