onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018672792	2.7	forage	3.411	153.9401522	380	5	71.46846235	1	n/a	n/a	n/a	n/a
17.09763387	2.7	forage	2.102	-30.24810959	283.3333333	20	228.3536039	0	n/a	n/a	n/a	n/a
23.29716923	2.7	forage	3.402	-32.31299566	326.6666667	40	268.579322	0	n/a	n/a	n/a	n/a
36.77943582	1.8	engage	4.451	n/a	n/a	n/a	n/a	n/a	0	149.65	220.5	0
47.21199379	2.7	forage	3.425	83.5767064	243.3333333	40	96.41750918	1	n/a	n/a	n/a	n/a
58.94445996	2.7	forage	5.368	66.17117013	228.3333333	40	109.0812585	1	n/a	n/a	n/a	n/a
69.26033395	2.7	forage	3.002	83.56593565	243.3333333	40	96.43078819	1	n/a	n/a	n/a	n/a
81.7760376	2.7	forage	4.936	66.18079741	228.3333333	20	109.0812585	1	n/a	n/a	n/a	n/a
92.15856833	2.7	forage	3.875	83.56246835	243.3333333	20	96.43078819	1	n/a	n/a	n/a	n/a
101.9577753	2.7	forage	2.766	82.3650705	253.3333333	20	96.90523616	1	n/a	n/a	n/a	n/a
111.6404601	1.8	engage	1.795	n/a	n/a	n/a	n/a	n/a	0	453.15	195	1
124.1227755	2.7	forage	4.125	-14.94143152	220	20	177.5865651	0	n/a	n/a	n/a	n/a
134.8552645	2.7	forage	3.362	-31.40487735	283.3333333	5	218.8223178	0	n/a	n/a	n/a	n/a
147.9709692	1.8	engage	3.714	n/a	n/a	n/a	n/a	n/a	0	293.7	25.3	1
157.6202177	2.7	forage	7.257	-101.0595191	215	40	277.3628339	0	n/a	n/a	n/a	n/a
169.4692188	1.8	engage	3.029	n/a	n/a	n/a	n/a	n/a	0	221.85	78	1
182.7349446	2.7	forage	3.721	35.18063478	283.3333333	40	167.3454052	1	n/a	n/a	n/a	n/a
190.3511097	1.8	engage	2.079	n/a	n/a	n/a	n/a	n/a	0	215	189.75	1
203.1333257	2.7	forage	4.951	-67.12914005	250	5	248.0687843	1	n/a	n/a	n/a	n/a
212.4493617	2.7	forage	4.952	48.75986117	286.6666667	40	155.5577939	1	n/a	n/a	n/a	n/a
223.1651994	2.7	forage	3.861	-56.08330902	180	40	202.5867914	0	n/a	n/a	n/a	n/a
236.8974998	2.7	forage	3.109	-101.5316986	201.6666667	5	247.8715356	0	n/a	n/a	n/a	n/a
249.6486145	1.8	engage	2.804	n/a	n/a	n/a	n/a	n/a	0	128.8	136.4	1
258.9957654	1.8	engage	1.561	n/a	n/a	n/a	n/a	n/a	0	96	116	0
268.8283285	2.7	forage	3.279	93.84700635	306.6666667	5	126.5	1	n/a	n/a	n/a	n/a
