onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.01793105	2.7	forage	4.568	91.62395252	205	20	51.40636789	0	n/a	n/a	n/a	n/a
14.18207267	1.8	engage	2.586	n/a	n/a	n/a	n/a	n/a	0	47.5	41.75	0
25.11533094	2.7	forage	3.631	103.4918834	318.3333333	40	105.3490267	0	n/a	n/a	n/a	n/a
32.2807434	1.8	engage	1.704	n/a	n/a	n/a	n/a	n/a	0	155	150.3	1
42.04653191	2.7	forage	3.032	77.44484684	306.6666667	20	130.6032141	0	n/a	n/a	n/a	n/a
50.59593695	1.8	engage	2.275	n/a	n/a	n/a	n/a	n/a	0	164.4	58.1	1
61.04509633	2.7	forage	3.22	187.1101051	416.6666667	40	54.30478849	0	n/a	n/a	n/a	n/a
68.77796531	1.8	engage	3.695	n/a	n/a	n/a	n/a	n/a	0	22.5	6.6	1
79.32703502	2.7	forage	2.993	177.4801854	293.3333333	5	35.40488406	1	n/a	n/a	n/a	n/a
92.74304136	2.7	forage	3.841	25.49005583	240	40	170.1295709	0	n/a	n/a	n/a	n/a
101.375378	1.8	engage	2.816	n/a	n/a	n/a	n/a	n/a	0	288	48	1
115.3242824	2.7	forage	5.141	200.5509532	280	20	15.14305115	1	n/a	n/a	n/a	n/a
126.390142	2.7	forage	2.874	-125.7695807	181.6666667	40	285.8893416	0	n/a	n/a	n/a	n/a
133.4396324	1.8	engage	1.826	n/a	n/a	n/a	n/a	n/a	0	51.6	291.2	0
144.2387494	2.7	forage	3.314	-58.46146907	248.3333333	20	233.8500075	0	n/a	n/a	n/a	n/a
152.9048282	1.8	engage	2.232	n/a	n/a	n/a	n/a	n/a	0	124.7	142.8	0
166.5037263	2.7	forage	2.791	-121.500176	178.3333333	5	249.6924199	0	n/a	n/a	n/a	n/a
173.5198775	1.8	engage	2.704	n/a	n/a	n/a	n/a	n/a	0	264.6	323	0
187.0355044	2.7	forage	3.749	-106.0394615	275	40	288.8317489	0	n/a	n/a	n/a	n/a
194.3515812	1.8	engage	4.442	n/a	n/a	n/a	n/a	n/a	0	452.4	156.35	1
207.9504923	2.7	forage	4.401	36.36137854	240	5	137.5	1	n/a	n/a	n/a	n/a
220.7662304	2.7	forage	2.714	-120.5751086	148.3333333	40	228.3524974	0	n/a	n/a	n/a	n/a
228.8490123	1.8	engage	1.782	n/a	n/a	n/a	n/a	n/a	0	151.2	274.7	0
241.7185386	2.7	forage	4.724	214.1859699	428.3333333	20	32.28846637	1	n/a	n/a	n/a	n/a
255.9302147	2.7	forage	3.876	-47.93007059	286.6666667	40	265.6020572	0	n/a	n/a	n/a	n/a
264.0463058	1.8	engage	3.961	n/a	n/a	n/a	n/a	n/a	0	148.2	131.2	0
276.7619101	2.7	forage	3.438	16.85591436	338.3333333	20	212.6827121	0	n/a	n/a	n/a	n/a
284.8613827	1.8	engage	2.25	n/a	n/a	n/a	n/a	n/a	0	83.25	246	0
296.1813004	2.7	forage	4.133	-88.6675469	248.3333333	20	259.426211	0	n/a	n/a	n/a	n/a
304.6597831	1.8	engage	2.683	n/a	n/a	n/a	n/a	n/a	0	306	310.05	1
316.608922	2.7	forage	5.302	164.9890264	280	40	41.12509431	1	n/a	n/a	n/a	n/a
329.6578201	2.7	forage	3.893	-94.85495699	185	20	250.7118606	0	n/a	n/a	n/a	n/a
338.7738727	1.8	engage	3.044	n/a	n/a	n/a	n/a	n/a	0	170.1	129.6	1
350.7728804	2.7	forage	4.69	-82.51217243	245	20	272.4520899	0	n/a	n/a	n/a	n/a
360.0556123	1.8	engage	1.487	n/a	n/a	n/a	n/a	n/a	0	126.5	382.2	0
368.4548443	2.7	forage	4.128	-10.23667824	243.3333333	5	181.8563201	0	n/a	n/a	n/a	n/a
377.8875718	1.8	engage	3.152	n/a	n/a	n/a	n/a	n/a	0	181.25	162	1
389.019996	2.7	forage	3.125	148.7413091	405	5	83.57062019	1	n/a	n/a	n/a	n/a
401.1690774	2.7	forage	4.918	-41.7966618	303.3333333	40	252.4389618	0	n/a	n/a	n/a	n/a
410.6017427	1.8	engage	2.872	n/a	n/a	n/a	n/a	n/a	0	300	88.4	1
421.7041369	2.7	forage	3.785	82.58065154	350	20	162.392611	0	n/a	n/a	n/a	n/a
430.9334945	1.8	engage	1.625	n/a	n/a	n/a	n/a	n/a	0	163.85	237	0
443.382441	2.7	forage	3.401	-27.5098486	200	5	182.0054323	0	n/a	n/a	n/a	n/a
453.8984083	1.8	engage	1.606	n/a	n/a	n/a	n/a	n/a	0	217.6	142.8	1
465.3974399	2.7	forage	2.979	-124.8725282	183.3333333	40	270.2004678	0	n/a	n/a	n/a	n/a
472.9469636	1.8	engage	1.71	n/a	n/a	n/a	n/a	n/a	0	104.4	262.35	0
483.7793929	2.7	forage	2.916	220.9628573	456.6666667	20	35.39824456	1	n/a	n/a	n/a	n/a
494.4794047	2.7	forage	3.136	-38.96561374	313.3333333	20	269.8427644	0	n/a	n/a	n/a	n/a
503.8112747	1.8	engage	1.66	n/a	n/a	n/a	n/a	n/a	0	407.5	228	1
