onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018592295	2.7	forage	5.488	126.1231528	263.3333333	40	66.37596197	0	n/a	n/a	n/a	n/a
14.61533261	1.8	engage	1.152	n/a	n/a	n/a	n/a	n/a	0	44.1	51.35	1
25.8516967	2.7	forage	2.712	71.16905756	181.6666667	20	71.11407877	1	n/a	n/a	n/a	n/a
38.58010558	2.7	forage	2.989	23.85836058	155	40	105.3567728	0	n/a	n/a	n/a	n/a
45.96287229	1.8	engage	2.574	n/a	n/a	n/a	n/a	n/a	0	108.9	53	1
56.81419862	2.7	forage	2.541	233.9474238	421.6666667	20	26.39784216	1	n/a	n/a	n/a	n/a
67.74686231	2.7	forage	4.546	-38.79073655	278.3333333	40	262.4936623	0	n/a	n/a	n/a	n/a
79.54364638	1.8	engage	1.665	n/a	n/a	n/a	n/a	n/a	0	298.35	184.8	1
89.15958326	2.7	forage	5.259	9.139666013	325	40	225.1483829	1	n/a	n/a	n/a	n/a
100.6586824	2.7	forage	3.728	156.3650839	378.3333333	20	88	1	n/a	n/a	n/a	n/a
113.1754959	2.7	forage	3.404	-4.578528914	321.6666667	40	236.3904482	1	n/a	n/a	n/a	n/a
125.0579723	2.7	forage	4.049	-48.42849454	270	40	257.5190131	0	n/a	n/a	n/a	n/a
135.356092	1.8	engage	3.669	n/a	n/a	n/a	n/a	n/a	0	292.05	379.95	0
146.9384033	2.7	forage	2.566	207.5293127	390	20	30.88199789	1	n/a	n/a	n/a	n/a
155.7045096	2.7	forage	3.754	-0.315394933	285	40	222.2319803	0	n/a	n/a	n/a	n/a
163.5539128	1.8	engage	1.488	n/a	n/a	n/a	n/a	n/a	0	101.2	113.4	0
173.2697501	2.7	forage	2.845	227.9941116	470	20	36.35848297	1	n/a	n/a	n/a	n/a
184.386834	2.7	forage	3.543	12.22491491	345	5	242.3787284	0	n/a	n/a	n/a	n/a
192.2516695	1.8	engage	2.262	n/a	n/a	n/a	n/a	n/a	0	204.75	371.95	0
202.1676055	2.7	forage	2.33	-97.22638533	155	40	230.1595493	0	n/a	n/a	n/a	n/a
209.9170506	1.8	engage	4.837	n/a	n/a	n/a	n/a	n/a	0	140.8	171	0
226.6846629	2.7	forage	2.102	183.6648844	313.3333333	5	25.60110155	1	n/a	n/a	n/a	n/a
235.9149982	2.7	forage	4.206	-120.2875442	181.6666667	20	262.6643529	0	n/a	n/a	n/a	n/a
244.2810033	1.8	engage	3.539	n/a	n/a	n/a	n/a	n/a	0	129.6	468	0
257.9994852	2.7	forage	4.267	63.04874	195	20	87.49788743	1	n/a	n/a	n/a	n/a
270.4811454	2.7	forage	2.241	31.21878678	205	20	115.5	1	n/a	n/a	n/a	n/a
282.0781262	2.7	forage	3.739	-156.3042587	145	5	255.3869021	0	n/a	n/a	n/a	n/a
