onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018009466	2.7	forage	3.02	216.2473517	451.6666667	20	35.55703938	1	n/a	n/a	n/a	n/a
14.54777771	2.7	forage	2.568	-20.34890264	316.6666667	40	254.4203008	0	n/a	n/a	n/a	n/a
22.41383986	1.8	engage	3.501	n/a	n/a	n/a	n/a	n/a	0	149.6	271.2	0
34.22965759	2.7	forage	5.18	-49.46206261	190	20	196.2903274	0	n/a	n/a	n/a	n/a
44.71218155	1.8	engage	4.485	n/a	n/a	n/a	n/a	n/a	0	127.5	325.6	0
57.76108679	2.7	forage	4.86	81.23379106	335	40	132	0	n/a	n/a	n/a	n/a
66.727121	1.8	engage	1.876	n/a	n/a	n/a	n/a	n/a	0	13	165.6	0
78.49635901	2.7	forage	2.413	-52.14656204	250	20	228.5962225	0	n/a	n/a	n/a	n/a
85.3757075	1.8	engage	4.701	n/a	n/a	n/a	n/a	n/a	0	175.5	153	0
99.57557919	2.7	forage	2.895	-101.2464396	175	5	247.8737488	0	n/a	n/a	n/a	n/a
108.6739528	1.8	engage	2.82	n/a	n/a	n/a	n/a	n/a	0	391.6	340.4	1
123.1727433	2.7	forage	3.247	100.9668243	271.6666667	40	93.5	0	n/a	n/a	n/a	n/a
130.7056018	1.8	engage	5.667	n/a	n/a	n/a	n/a	n/a	0	82.45	18.75	1
149.2375171	2.7	forage	3.919	159.360054	308.3333333	5	51.20220311	1	n/a	n/a	n/a	n/a
158.9867672	2.7	forage	3.33	-123.047107	185	40	256.1313566	0	n/a	n/a	n/a	n/a
166.8861548	1.8	engage	4.99	n/a	n/a	n/a	n/a	n/a	0	163.4	196	0
178.7685582	2.7	forage	5.851	-86.3422078	265	40	253	0	n/a	n/a	n/a	n/a
189.9844102	1.8	engage	2.293	n/a	n/a	n/a	n/a	n/a	0	322	7.95	1
200.9002096	2.7	forage	4.759	64.76942307	276.6666667	5	140.4133595	0	n/a	n/a	n/a	n/a
210.0328137	1.8	engage	4.594	n/a	n/a	n/a	n/a	n/a	0	54.6	91.25	0
224.3983083	2.7	forage	5.229	54.16847576	225	20	115.5	0	n/a	n/a	n/a	n/a
235.8309072	1.8	engage	2.774	n/a	n/a	n/a	n/a	n/a	0	165.9	7.4	1
250.9308159	2.7	forage	4.937	119.9077092	266.6666667	40	65.65944872	0	n/a	n/a	n/a	n/a
264.1287411	1.8	engage	1.965	n/a	n/a	n/a	n/a	n/a	0	33.15	69.75	0
274.8621595	2.7	forage	3.655	147.8618698	290	20	63.6050752	0	n/a	n/a	n/a	n/a
281.7107047	1.8	engage	2.222	n/a	n/a	n/a	n/a	n/a	0	52.8	47.4	1
296.3095577	2.7	forage	2.799	135.5887263	288.3333333	40	49.5	0	n/a	n/a	n/a	n/a
303.4423878	1.8	engage	4.403	n/a	n/a	n/a	n/a	n/a	0	54	4.9	1
318.3422114	2.7	forage	2.72	-79.12692856	308.3333333	40	280.8294854	0	n/a	n/a	n/a	n/a
325.6240006	1.8	engage	4.102	n/a	n/a	n/a	n/a	n/a	0	440	197.6	1
336.7231281	2.7	forage	3.489	-115.9368979	175	5	248.2740556	0	n/a	n/a	n/a	n/a
345.355835	1.8	engage	2.873	n/a	n/a	n/a	n/a	n/a	0	112.7	315	0
359.087997	2.7	forage	6.246	29.8315913	251.6666667	20	139.471933	0	n/a	n/a	n/a	n/a
372.8369892	1.8	engage	4.022	n/a	n/a	n/a	n/a	n/a	0	40.95	85.05	0
386.2193042	2.7	forage	6.818	179.2464598	380	5	51.20220311	1	n/a	n/a	n/a	n/a
400.6351209	2.7	forage	3.313	-32.48363094	270	5	232.560837	0	n/a	n/a	n/a	n/a
407.5342995	1.8	engage	1.533	n/a	n/a	n/a	n/a	n/a	0	124	321.2	0
417.0002784	2.7	forage	3.733	178.2491139	433.3333333	40	63.0313113	0	n/a	n/a	n/a	n/a
423.9997536	1.8	engage	7.795	n/a	n/a	n/a	n/a	n/a	0	52.2	38.25	0
440.9496741	2.7	forage	4.143	7.896805996	231.6666667	40	171.6475278	0	n/a	n/a	n/a	n/a
450.5311181	1.8	engage	3.192	n/a	n/a	n/a	n/a	n/a	0	127.65	297.5	0
463.0134626	2.7	forage	2.528	104.5272589	293.3333333	5	95.99479402	0	n/a	n/a	n/a	n/a
469.8295046	1.8	engage	3.071	n/a	n/a	n/a	n/a	n/a	0	107.4	92.15	1
479.9621703	2.7	forage	4.441	249.9778448	466.6666667	5	15.14305115	1	n/a	n/a	n/a	n/a
491.8778734	2.7	forage	3.487	-39.58565129	308.3333333	20	276.3096424	0	n/a	n/a	n/a	n/a
499.5440651	1.8	engage	3.819	n/a	n/a	n/a	n/a	n/a	0	158.6	232.8	0
509.8931125	2.7	forage	5.502	160.3393441	400	20	95.93503848	1	n/a	n/a	n/a	n/a
521.0422562	2.7	forage	5.586	-87.53307681	281.6666667	5	283.9774408	0	n/a	n/a	n/a	n/a
530.9916141	1.8	engage	4.437	n/a	n/a	n/a	n/a	n/a	0	377.5	450.5	0
